scene_id,category,scene_brief,status,times_used,last_used_at
1,Product Hero & Macro,"Extreme macro of pre-filled research pen on polished black reflective surface, soft rim light from behind, slow 360° orbit at eye level.",Active,0,
2,Product Hero & Macro,"Clear glass research vial gently floating and turning on matte pure white infinity surface, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
3,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with dramatic single hard key light, with subtle floating dust motes in light beams, captured with gentle top-down descending crane.",Active,0,
4,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, cool clinical blue-white LED, low angle tracking slide.",Active,0,
5,Product Hero & Macro,"Sterile research vial revealed with being placed with precise gloved hands, warm golden hour side light on dark charcoal concrete.",Active,0,
6,Product Hero & Macro,"Clean product portrait of precision research pen, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
7,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under split complementary teal and amber.,Active,0,
8,Product Hero & Macro,"Dual research pens side by side in pure clinical emptiness, low-key selective highlight only, slow elegant movement.",Active,0,
9,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, soft bounce from below, vertical rise from base to top.",Active,0,
10,Product Hero & Macro,"Top-down composition of research vial lying on its side on mirrored chrome surface, hard specular edge light, minimal and precise.",Active,0,
11,Product Hero & Macro,"Extreme macro of pre-filled research pen on textured slate, volumetric god rays through haze, fast resolve into locked hero frame.",Active,0,
12,Product Hero & Macro,"Clear glass research vial with light traveling slowly across its surface on soft gray linen, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
13,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with practical small LED panel visible in frame, with perfect mirror reflection below, captured with over-the-shoulder gloved perspective.",Active,0,
14,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, cool overhead fluorescent lab feel, extreme high angle looking straight down.",Active,0,
15,Product Hero & Macro,"Sterile research vial revealed with with elegant mechanical precision of movement, warm under-light glow on translucent frosted panel.",Active,0,
16,Product Hero & Macro,"Clean product portrait of precision research pen, with soft particle haze, slow 360° orbit at eye level.",Active,0,
17,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under clean high-key beauty lighting.,Active,0,
18,Product Hero & Macro,"Dual research pens side by side with perfect with subtle floating dust motes in light beams, dramatic single hard key light, slow elegant movement.",Active,0,
19,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, cool clinical blue-white LED, low angle tracking slide.",Active,0,
20,Product Hero & Macro,"Top-down composition of research vial lying on its side on dark charcoal concrete, warm golden hour side light, minimal and precise.",Active,0,
21,Product Hero & Macro,"Extreme macro of pre-filled research pen on frosted glass platform, soft diffused overhead, subtle handheld micro-movement.",Active,0,
22,Product Hero & Macro,"Clear glass research vial with a single drop forming at the tip on clean acrylic riser, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
23,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with low-key selective highlight only, in pure clinical emptiness, captured with lateral motion-control track.",Active,0,
24,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, soft bounce from below, vertical rise from base to top.",Active,0,
25,Product Hero & Macro,"Sterile research vial revealed with reflected perfectly in the surface below, hard specular edge light on mirrored chrome surface.",Active,0,
26,Product Hero & Macro,"Clean product portrait of precision research pen, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
27,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under soft window light with gentle falloff.,Active,0,
28,Product Hero & Macro,"Dual research pens side by side with mirror reflection below, practical small LED panel visible in frame, slow elegant movement.",Active,0,
29,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, cool overhead fluorescent lab feel, extreme high angle looking straight down.",Active,0,
30,Product Hero & Macro,"Top-down composition of research vial lying on its side on translucent frosted panel, warm under-light glow, minimal and precise.",Active,0,
31,Product Hero & Macro,"Extreme macro of pre-filled research pen on polished black reflective surface, soft rim light from behind, slow 360° orbit at eye level.",Active,0,
32,Product Hero & Macro,"Clear glass research vial gently floating and turning on matte pure white infinity surface, with gentle dry-ice style fog drifting, extreme macro push-in.",Active,0,
33,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with dramatic single hard key light, with subtle floating dust motes in light beams, captured with gentle top-down descending crane.",Active,0,
34,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, cool clinical blue-white LED, low angle tracking slide.",Active,0,
35,Product Hero & Macro,"Sterile research vial revealed with being placed with precise gloved hands, warm golden hour side light on dark charcoal concrete.",Active,0,
36,Product Hero & Macro,"Clean product portrait of precision research pen, with light caustics refracting across the surface, subtle handheld micro-movement.",Active,0,
37,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under split complementary teal and amber.,Active,0,
38,Product Hero & Macro,"Dual research pens side by side in pure clinical emptiness, low-key selective highlight only, slow elegant movement.",Active,0,
39,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, soft bounce from below, vertical rise from base to top.",Active,0,
40,Product Hero & Macro,"Top-down composition of research vial lying on its side on mirrored chrome surface, hard specular edge light, minimal and precise.",Active,0,
41,Product Hero & Macro,"Extreme macro of pre-filled research pen on textured slate, volumetric god rays through haze, fast resolve into locked hero frame.",Active,0,
42,Product Hero & Macro,"Clear glass research vial with light traveling slowly across its surface on soft gray linen, with gentle liquid swirl inside the container, circular arc that never fully completes.",Active,0,
43,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with practical small LED panel visible in frame, with perfect mirror reflection below, captured with over-the-shoulder gloved perspective.",Active,0,
44,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, cool overhead fluorescent lab feel, extreme high angle looking straight down.",Active,0,
45,Product Hero & Macro,"Sterile research vial revealed with with elegant mechanical precision of movement, warm under-light glow on translucent frosted panel.",Active,0,
46,Product Hero & Macro,"Clean product portrait of precision research pen, with soft particle haze, slow 360° orbit at eye level.",Active,0,
47,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under clean high-key beauty lighting.,Active,0,
48,Product Hero & Macro,"Dual research pens side by side with perfect with subtle floating dust motes in light beams, dramatic single hard key light, slow elegant movement.",Active,0,
49,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, cool clinical blue-white LED, low angle tracking slide.",Active,0,
50,Product Hero & Macro,"Top-down composition of research vial lying on its side on dark charcoal concrete, warm golden hour side light, minimal and precise.",Active,0,
51,Product Hero & Macro,"Extreme macro of pre-filled research pen on frosted glass platform, soft diffused overhead, subtle handheld micro-movement.",Active,0,
52,Product Hero & Macro,"Clear glass research vial with a single drop forming at the tip on clean acrylic riser, with soft volumetric atmosphere, spiral orbit combined with slow push.",Active,0,
53,Product Hero & Macro,"Hero shot of sealed peptide vial with rubber stopper with low-key selective highlight only, in pure clinical emptiness, captured with lateral motion-control track.",Active,0,
54,Product Hero & Macro,"Detail study of research pen with visible liquid barrel focusing on liquid and glass, soft bounce from below, vertical rise from base to top.",Active,0,
55,Product Hero & Macro,"Sterile research vial revealed with reflected perfectly in the surface below, hard specular edge light on mirrored chrome surface.",Active,0,
56,Product Hero & Macro,"Clean product portrait of precision research pen, with abstract geometric light patterns, fast resolve into locked hero frame.",Active,0,
57,Product Hero & Macro,Macro texture study of amber-tinted research vial label and glass under soft window light with gentle falloff.,Active,0,
58,Product Hero & Macro,"Dual research pens side by side with mirror reflection below, practical small LED panel visible in frame, slow elegant movement.",Active,0,
59,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, cool overhead fluorescent lab feel, extreme high angle looking straight down.",Active,0,
