Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Auto Reply Email (product.metafields.custom.auto_reply_email),Custom Email Reply (product.metafields.custom.custom_email_reply),Active ingredient (product.metafields.shopify.active-ingredient),Chemical grade (product.metafields.shopify.chemical-grade),Chemical purity (product.metafields.shopify.chemical-purity),Disclosures (product.metafields.shopify.disclosure),Medicine/Drug form (product.metafields.shopify.medicine-drug-form),Route of administration (product.metafields.shopify.route-of-administration),Treatment objective (product.metafields.shopify.treatment-objective),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
ta-1,TA-1,"<p dir=""auto""><strong>TA-1 10 mL Vial</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> TA-1 (Thymosin Alpha-1) is a synthetic 28-amino acid peptide corresponding to the N-terminal active fragment of prothymosin alpha.</p>
<p dir=""auto""><strong>Product Specifications – TA-1 10 mL Vial (10 mg)</strong></p>
<ul dir=""auto"">
<li>Total TA-1: 10 mg</li>
<li>Volume: 10 mL vial</li>
<li>Concentration: 1 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use liquid vial</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Immune modulation and T-cell research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Lyophilized powder (if applicable for other products): Stable long-term at –20°C (typically 1–2 years when protected from moisture and light).</li>
<li>
<strong>Liquid (ready-to-use or reconstituted):</strong> Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique. Do not freeze. Avoid prolonged room-temperature exposure. Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.</li>
<li>
<div>For <strong>lyophilized</strong> orders please contact us (minimum order required) </div>
<div><a href=""www.palmbeach-vitality.com"">www.palmbeach-vitality.com</a></div>
</li>
<li><img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""></li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"Peptides, vial",true,Form,Liquid,,,,,,,,,0.0,,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_90.jpg?v=1784042737,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,support; immune-support; t-cell,,lb,,,active
ta-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/TA-1_51e7ecea-c82a-4eab-aa91-3c12cc40e03e.jpg?v=1784648957,2,"",,,,,,,,,,,,,,,,,
aod-9604,AOD-9604,"<p dir=""auto""><strong>AOD-9604 10 mL Vial</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> AOD-9604 is a synthetic 16-amino acid peptide fragment corresponding to the C-terminal region of human growth hormone (hGH 176-191) with an N-terminal tyrosine addition and a stabilizing disulfide bond.</p>
<p dir=""auto""><strong>Product Specifications – AOD-9604 10 mL Vial (10 mg)</strong></p>
<ul dir=""auto"">
<li>Total AOD-9604: 10 mg</li>
<li>Volume: 10 mL vial</li>
<li>Concentration: 1 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use liquid vial</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Growth hormone fragment and lipid metabolism research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Lyophilized powder (if applicable for other products): Stable long-term at –20°C (typically 1–2 years when protected from moisture and light).</li>
<li>
<strong>Liquid (ready-to-use or reconstituted):</strong> Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique. Do not freeze. Avoid prolonged room-temperature exposure. Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.</li>
<li>
<div>For <strong>lyophilized</strong> orders please contact us (minimum order required) </div>
<div><a href=""www.palmbeach-vitality.com"">www.palmbeach-vitality.com</a></div>
</li>
<li><img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""></li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"Peptides, vial",true,Form,Liquid,,,,,,,,,0.0,,deny,manual,110.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_91.jpg?v=1784043628,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,tissue-repair; muscle-growth; fat-loss; weight-loss,,lb,,,active
aod-9604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/AOD_9604.jpg?v=1784650747,2,"",,,,,,,,,,,,,,,,,
melonotan,Melonotan,"<p dir=""auto""><strong>Melanotan II 10 mL Vial</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Melanotan II is a synthetic cyclic heptapeptide analog of α-melanocyte-stimulating hormone (α-MSH).</p>
<p dir=""auto""><strong>Product Specifications – Melanotan II 10 mL Vial (10 mg)</strong></p>
<ul dir=""auto"">
<li>Total Melanotan II: 10 mg</li>
<li>Volume: 10 mL vial</li>
<li>Concentration: 1 mg/mL</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use liquid vial</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Melanocortin receptor activation research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Lyophilized powder (if applicable for other products): Stable long-term at –20°C (typically 1–2 years when protected from moisture and light).</li>
<li>
<strong>Liquid (ready-to-use or reconstituted):</strong> Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique. Do not freeze. Avoid prolonged room-temperature exposure. Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt="""">
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,"Peptides, vial",true,Form,Liquid,,,,,,,,,0.0,,deny,manual,85.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_93.jpg?v=1784045698,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,tanning-peptide; melonotan-production; uv-protection,,lb,,,active
melonotan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/MELONOTAN.jpg?v=1784655865,2,"",,,,,,,,,,,,,,,,,
retatrutide,Retatrutide 60mg,"<p dir=""auto""><strong>Retatrutide 60mg 10mL Vial </strong></p>
<div>
<div>
<p dir=""auto""><strong>Retatrutide the Weight Loss Powerhouse:</strong></p>
<p dir=""auto""><strong>     Retaturtide</strong> is a next-generation triple agonist peptide that activates GLP-1, GIP, and glucagon receptors simultaneously. This unique triple-action mechanism sets it apart from other weight loss peptides, as it not only suppresses appetite and improves insulin sensitivity but also significantly increases energy expenditure and fat burning through glucagon receptor activation. Currently one of the most powerful compounds being researched for obesity and metabolic health, Retatrutide has shown impressive results in clinical studies for substantial and sustained weight loss.</p>
<p dir=""auto"">     What makes<strong> Retatrutide</strong> particularly exciting is its ability to deliver both strong appetite control and increased fat oxidation in one molecule. Users in research settings often report significant reductions in body weight, improved body composition, better blood sugar control, and enhanced metabolic function. With its multi-pathway approach, <strong>Retatrutide </strong>represents a major advancement in the evolving landscape of weight management and metabolic research peptides.</p>
</div>
</div>
<section></section>
<h3 dir=""auto"">Available Strengths:</h3>
<ul dir=""auto"">
<li>
<strong>Retatrutide 60mg</strong> (6mg/mL)</li>
<li>
<strong>Retatrutide 100mg</strong> (10mg/mL)</li>
<li>
<strong>Retatrutide 200mg</strong> (20mg/mL)</li>
</ul>
<h3 dir=""auto"">Product Specs (All Strengths):</h3>
<ul dir=""auto"">
<li>
<strong>Form</strong>: 10mL Sterile Multi-Dose Vial</li>
<li>
<strong>Strengths</strong>: 60mg,100mg and 200mg</li>
<li>
<strong>Concentration</strong>: 6mg/mL, 10mg/ml and 20mg/ml</li>
<li>
<strong>Purity</strong>: 99.99% verified under strict third-party analysis</li>
<li>
<strong>Format:</strong> Ready-to-use liquid vial</li>
</ul>
<p dir=""auto"">Premium quality for serious weight loss results.</p>
<p dir=""auto"">Take control of your transformation – choose your strength and start your<strong> Retatrutide</strong> journey today!</p>",Palm Beach RX,Health & Beauty > Health Care > Medicine & Drugs,Weight Loss,"vial, weight loss",false,Dosage,60mg,,,,,,,,,0.0,,deny,manual,500.00,,true,false,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_95.jpg?v=1784047924,1,"",false,,,,,peptides,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,fat-loss; weight-loss,,lb,,,suspended
tirzepatide,Tirzepatide 100mg,"<p dir=""auto""><strong>Tirzepatide 100mg 10ml Vial</strong></p>
<p dir=""auto""><strong>Tirzepatide – Dual Agonist for Powerful Weight Loss:</strong></p>
<p dir=""auto""><strong>     Tirzepatide</strong> is a powerful dual agonist peptide that activates both GLP-1 and GIP receptors. This dual-action mechanism enhances insulin secretion, suppresses appetite, slows gastric emptying, and improves overall metabolic function more effectively than single GLP-1 agonists alone. Originally developed for type 2 diabetes management, <strong>Tirzepatide</strong> has gained massive attention in research for its impressive ability to drive significant and sustained weight loss.</p>
<p dir=""auto"">     What sets <strong>Tirzepatide</strong> apart is its ability to deliver superior appetite control and fat reduction while also supporting better blood sugar regulation. Research has shown it can produce greater weight loss results compared to traditional GLP-1 medications, with many users experiencing meaningful improvements in body composition, energy levels, and metabolic health. Its dual receptor activation makes it one of the most effective peptides currently being studied for weight management and overall metabolic optimization.</p>
<h3 dir=""auto"">Available Strengths:</h3>
<p dir=""auto""><strong>Tirzepatide 100mg (10mL Vial – 10mg/mL)</strong> Great starting-to-mid strength for consistent results.</p>
<p dir=""auto""><strong>Tirzepatide 200mg (10mL Vial – 20mg/mL)</strong> High-potency option for advanced users seeking maximum weight loss.</p>
<h3 dir=""auto"">Product Specs (All Strengths):</h3>
<ul dir=""auto"">
<li>
<strong>Form</strong>: 10mL Sterile Multi-Dose Vial</li>
<li>
<strong>Strengths</strong>: 10mg or 20mg </li>
<li>
<strong>Concentration</strong>: 10mg/mL or 20mg/ml</li>
<li>
<strong>Purity</strong>: 99.99% verified under strict third-party analysis</li>
<li>
<strong>Format:</strong> Ready-to-use liquid vial</li>
</ul>
<p dir=""auto"">Choose your strength and take control of your transformation today!</p>",Palm Beach RX,Health & Beauty > Health Care > Medicine & Drugs,Weight Loss,"vial, weight loss",false,Dosage,100mg,,,,,,,,,0.0,,deny,manual,600.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image-2026-07-14T134456.745.jpg?v=1784051239,1,"",false,,,,,peptides,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,fat-loss; weight-loss; support,,lb,,,suspended
semaglutide,Semaglutide 25mg,"<p dir=""auto""><strong>Semaglutide 25mg 10ml Vial </strong></p>
<p dir=""auto""><strong>Proven GLP-1 Power for Weight Loss:</strong></p>
<p dir=""auto"">   <strong>  Semaglutide</strong> is a well-established GLP-1 receptor agonist that effectively suppresses appetite, slows gastric emptying, and supports significant, sustainable weight loss while improving metabolic health. A trusted choice for consistent fat reduction and long-term results.</p>
<h3 dir=""auto"">Available Strengths:</h3>
<p dir=""auto""><strong>Semaglutide 25mg (10mL Vial – 2.5mg/mL)</strong> Ideal for beginners and gentle titration.</p>
<p dir=""auto""><strong>Semaglutide 50mg (10mL Vial – 5mg/mL)</strong> Stronger concentration for faster progress and higher dosing.</p>
<h3 dir=""auto"">Product Specs (All Strengths):</h3>
<ul dir=""auto"">
<li>
<strong>Form</strong>: 10mL Sterile Multi-Dose Vial</li>
<li>
<strong>Strengths</strong>: 25mg or 50mg </li>
<li>
<strong>Concentration</strong>: 25mg/mL or 50mg/ml</li>
<li>
<strong>Purity</strong>: 99.99% verified under strict third-party analysis</li>
<li>
<strong>Format:</strong> Ready-to-use liquid vial</li>
</ul>
<p dir=""auto"">Choose your strength and start your weight loss journey today!</p>",Palm Beach RX,Health & Beauty > Health Care > Medicine & Drugs,Weight Loss,Peptides,false,Dosage,25mg,,,,,,,,,0.0,,deny,manual,400.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image-2026-07-14T135718.654.jpg?v=1784051851,1,"",false,,,,,peptides,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,weight-loss; fat-loss,,lb,,,suspended
klow-pen,KLOW Pen,"<p dir=""auto""><strong>KLOW 3 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> This is a multi-peptide research blend combining KPV (Lys-Pro-Val tripeptide), BPC-157 (synthetic gastric pentadecapeptide), TB-500 (synthetic actin-binding fragment of thymosin beta-4), and GHK-Cu (copper complex of glycyl-L-histidyl-L-lysine).</p>
<p dir=""auto""><strong>Product Specifications – KLOW 3 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total KPV: 10 mg</li>
<li>Total BPC-157: 10 mg</li>
<li>Total TB-500: 10 mg</li>
<li>Total GHK-Cu: 50 mg</li>
<li>Volume: 3 mL pre-filled pen</li>
<li>Concentration: ≈3.33 mg/mL KPV + ≈3.33 mg/mL BPC-157 + ≈3.33 mg/mL TB-500 + ≈16.67 mg/mL GHK-Cu</li>
<li>Purity: Research-grade, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Multi-pathway inflammation modulation and tissue remodeling research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to lightly blue-tinted liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research blend. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>
<span>Refrigerated</span><span> </span><span>at</span><span> </span><span>2–8°C</span><span> </span><span>(36–46°F).</span><span> </span><span>Practical</span><span> </span><span>shelf</span><span> </span><span>life</span><span> </span><span>is</span><span> </span><strong>4–6 weeks</strong><span> </span><span>when</span><span> </span><span>protected</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>handled</span><span> </span><span>with</span><span> </span><span>aseptic</span><span> </span><span>technique.</span>
</li>
<li>
<span>Do</span><span> </span><span>not</span><span> </span><span>freeze.</span><span> </span><span>Avoid</span><span> </span><span>prolonged</span><span> </span><span>room-temperature</span><span> </span><span>exposure.</span>
</li>
<li>
<span>Discard</span><span> </span><span>after</span><span> </span><span>6</span><span> </span><span>weeks</span><span> </span><span>or</span><span> </span><span>if</span><span> </span><span>the</span><span> </span><span>solution</span><span> </span><span>becomes</span><span> </span><span>cloudy,</span><span> </span><span>discolored,</span><span> </span><span>or</span><span> </span><span>shows</span><span> </span><span>particulate</span><span> </span><span>matter.</span>
</li>
<li>
<span>Protect</span><span> </span><span>from</span><span> </span><span>light</span><span> </span><span>and</span><span> </span><span>moisture</span><span> </span><span>at</span><span> </span><span>all</span><span> </span><span>times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""></span>
</li>
</ul>",Palm Beach Vitality,Health & Beauty > Health Care > Medicine & Drugs,Peptide,Peptides,true,Title,Default Title,,,,,,,,,0.0,,deny,manual,230.00,,true,true,,,,,,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/KLOW_PEN_e76c3970-1145-46d6-adcd-cf2db8b633fe.jpg?v=1784146441,1,"",false,,,,,,laboratory,99,shopify--disclosure-custom:research-use-only,liquid,subcutaneous-injection,comfort; skin-repair; anti-aging; weight-loss; joint-pain; muscle-pain; pain-relief; muscle-growth; tissue-repair; fat-loss,,lb,,,active
