Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Categories,Tags,Images,Parent,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _purity,Meta: _research_use_only
variable,PBP-BPC-157,BPC-157,1,0,visible,Body Protection Compound-157 · 99.9% purity,"<p>Pentadecapeptide for tissue repair, gut health, and angiogenesis research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>",taxable,,1,,0,0,0,,Growth Factors,"research,bpc-157",,,0,Size,"5mg, 10mg, 25mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-BPC-157-5mg-lyophilized,"BPC-157 - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-BPC-157-5mg-liquid-vial,"BPC-157 - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-BPC-157-5mg-injectable-pen,"BPC-157 - 5mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,3,Size,5mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-BPC-157-10mg-lyophilized,"BPC-157 - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,4,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-BPC-157-10mg-liquid-vial,"BPC-157 - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,5,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-BPC-157-10mg-injectable-pen,"BPC-157 - 10mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,6,Size,10mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-BPC-157-25mg-lyophilized,"BPC-157 - 25mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,7,Size,25mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-BPC-157-25mg-liquid-vial,"BPC-157 - 25mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,8,Size,25mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-BPC-157-25mg-injectable-pen,"BPC-157 - 25mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-BPC-157,9,Size,25mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-TB-500,TB-500,1,0,visible,Thymosin Beta-4 Fragment · 99.9% purity,"<p>For actin regulation, tissue repair, and recovery research applications.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>",taxable,,1,,0,0,0,,Growth Factors,"research,tb-500",,,0,Size,"5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-TB-500-5mg-lyophilized,"TB-500 - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TB-500-5mg-liquid-vial,"TB-500 - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TB-500-5mg-injectable-pen,"TB-500 - 5mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,3,Size,5mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-TB-500-10mg-lyophilized,"TB-500 - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,4,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TB-500-10mg-liquid-vial,"TB-500 - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,5,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TB-500-10mg-injectable-pen,"TB-500 - 10mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TB-500,6,Size,10mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-GHK-CU,GHK-Cu,1,0,visible,Copper Peptide · 99.9% purity,"<p>Tripeptide-copper complex studied for skin, hair, and wound healing research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>",taxable,,1,,0,0,0,,Growth Factors,"research,ghk-cu",,,0,Size,"50mg, 100mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-GHK-CU-50mg-lyophilized,"GHK-Cu - 50mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-GHK-CU,1,Size,50mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-GHK-CU-50mg-liquid-vial,"GHK-Cu - 50mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-GHK-CU,2,Size,50mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-GHK-CU-100mg-lyophilized,"GHK-Cu - 100mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-GHK-CU,3,Size,100mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-GHK-CU-100mg-liquid-vial,"GHK-Cu - 100mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-GHK-CU,4,Size,100mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-SEMAGLUTIDE,Semaglutide,1,0,visible,GLP-1 Receptor Agonist · 99.9% purity,<p>High-demand analog for metabolic and glycemic regulation research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Metabolic,"research,semaglutide",,,0,Size,"2mg, 5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-2mg-lyophilized,"Semaglutide - 2mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,1,Size,2mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-2mg-liquid-vial,"Semaglutide - 2mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,2,Size,2mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-2mg-injectable-pen,"Semaglutide - 2mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,3,Size,2mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-5mg-lyophilized,"Semaglutide - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,4,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-5mg-liquid-vial,"Semaglutide - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,5,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-5mg-injectable-pen,"Semaglutide - 5mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,6,Size,5mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-10mg-lyophilized,"Semaglutide - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,7,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-10mg-liquid-vial,"Semaglutide - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,8,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SEMAGLUTIDE-10mg-injectable-pen,"Semaglutide - 10mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAGLUTIDE,9,Size,10mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-TIRZEPATIDE,Tirzepatide,1,0,visible,Dual GIP/GLP-1 Agonist · 99.9% purity,<p>Next-gen dual agonist for advanced metabolic research applications.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Metabolic,"research,tirzepatide",,,0,Size,"5mg, 10mg, 15mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-5mg-lyophilized,"Tirzepatide - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-5mg-liquid-vial,"Tirzepatide - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-5mg-injectable-pen,"Tirzepatide - 5mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,3,Size,5mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-10mg-lyophilized,"Tirzepatide - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,4,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-10mg-liquid-vial,"Tirzepatide - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,5,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-10mg-injectable-pen,"Tirzepatide - 10mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,6,Size,10mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-15mg-lyophilized,"Tirzepatide - 15mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,7,Size,15mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-15mg-liquid-vial,"Tirzepatide - 15mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,8,Size,15mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-TIRZEPATIDE-15mg-injectable-pen,"Tirzepatide - 15mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-TIRZEPATIDE,9,Size,15mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-RETATRUTIDE,Retatrutide,1,0,visible,Triple Agonist (GLP-1/GIP/Glucagon) · 99.9% purity,<p>Emerging multi-receptor agonist for comprehensive metabolic studies.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Metabolic,"research,retatrutide",,,0,Size,"5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-RETATRUTIDE-5mg-lyophilized,"Retatrutide - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-RETATRUTIDE,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-RETATRUTIDE-5mg-liquid-vial,"Retatrutide - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-RETATRUTIDE,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-RETATRUTIDE-10mg-lyophilized,"Retatrutide - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-RETATRUTIDE,3,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-RETATRUTIDE-10mg-liquid-vial,"Retatrutide - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-RETATRUTIDE,4,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-AOD-9604,AOD-9604,1,0,visible,HGH Fragment 176-191 · 99.9% purity,<p>Studied for fat metabolism and body composition research.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Metabolic,"research,aod-9604",,,0,Size,"2mg, 5mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-AOD-9604-2mg-lyophilized,"AOD-9604 - 2mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-AOD-9604,1,Size,2mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-AOD-9604-2mg-liquid-vial,"AOD-9604 - 2mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-AOD-9604,2,Size,2mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-AOD-9604-5mg-lyophilized,"AOD-9604 - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-AOD-9604,3,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-AOD-9604-5mg-liquid-vial,"AOD-9604 - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-AOD-9604,4,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variable,PBP-SEMAX,Semax,1,0,visible,ACTH-Derived Heptapeptide · 99.9% purity,<p>Neuroprotective and cognitive enhancement research applications.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Cognitive,"research,semax",,,0,Size,"30mg, 60mg",1,1,Form,"Lyophilized, Liquid Vial, Injectable Pen",1,1,99.9%,yes
variation,PBP-SEMAX-30mg-lyophilized,"Semax - 30mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,1,Size,30mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SEMAX-30mg-liquid-vial,"Semax - 30mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,2,Size,30mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SEMAX-30mg-injectable-pen,"Semax - 30mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,3,Size,30mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variation,PBP-SEMAX-60mg-lyophilized,"Semax - 60mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,4,Size,60mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SEMAX-60mg-liquid-vial,"Semax - 60mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,5,Size,60mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SEMAX-60mg-injectable-pen,"Semax - 60mg, Injectable Pen",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SEMAX,6,Size,60mg,1,1,Form,Injectable Pen,1,1,99.9%,yes
variable,PBP-SELANK,Selank,1,0,visible,Tuftsin Analog · 99.9% purity,<p>Anxiolytic and nootropic research peptide with immunomodulatory interest.</p><p><strong>Research Use Only:</strong> All products intended for research purposes only. Not for human consumption. Not evaluated by the FDA.</p>,taxable,,1,,0,0,0,,Cognitive,"research,selank",,,0,Size,"5mg, 10mg",1,1,Form,"Lyophilized, Liquid Vial",1,1,99.9%,yes
variation,PBP-SELANK-5mg-lyophilized,"Selank - 5mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SELANK,1,Size,5mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SELANK-5mg-liquid-vial,"Selank - 5mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SELANK,2,Size,5mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
variation,PBP-SELANK-10mg-lyophilized,"Selank - 10mg, Lyophilized",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SELANK,3,Size,10mg,1,1,Form,Lyophilized,1,1,99.9%,yes
variation,PBP-SELANK-10mg-liquid-vial,"Selank - 10mg, Liquid Vial",1,0,visible,,,taxable,parent,1,,0,0,0,,,,,PBP-SELANK,4,Size,10mg,1,1,Form,Liquid Vial,1,1,99.9%,yes
