creation_id,rank,compound_id,compound_name,canonical_url,video_prompt,model_video,duration_seconds,resolution,aspect_ratio,audio,bitrate_mode,wait_seconds,status,times_used,last_used_at,video_url,request_id
SD25-001,1,P-5A1MQ-001,5-Amino-1MQ,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: 5-Amino-1MQ. Environment: Grade A/B fill-finish suite with interlocking airlock doors and HEPA soffits. Camera: slow push-in from the airlock threshold toward a single mid-ground bench. Lighting: high-key sterile white with cool steel speculars. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-002,2,P-AOD-001,AOD-9604,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: AOD-9604. Environment: soft-pink wellness R&D studio cooled by clinical steel islands and anti-vibration tables. Camera: low eye-level dolly along chrome table legs toward the hero. Lighting: golden-hour ribbon light sliding across polished steel. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-003,3,P-BPC-001,BPC-157,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: BPC-157. Environment: pharmaceutical gowning corridor with step-over benches and interlocking doors. Camera: wide tracking shot through the corridor, camera pulled back. Lighting: soft daylight sterile panels, no flicker. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-004,4,P-BPCTB-001,BPC-157/TB-500,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: BPC-157/TB-500. Environment: environmental monitoring ante-room with settle-plate prep benches. Camera: slow crane down from the HEPA ceiling to a single clean bench. Lighting: high-key sterile white, deep shadows only in the ceiling plenum. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-005,5,P-CAGRI-001,Cagrilinitide,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: Cagrilinitide. Environment: classified warehouse of sealed cartons and stainless pallet racking. Camera: slow lateral truck past identical cartons, hero isolated on a chrome plate. Lighting: cool industrial skylight mixed with under-shelf LEDs. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-006,6,P-CJC-001,CJC,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: CJC. Environment: peptide synthesis bay with glass-jacketed reactors and chilled circulating baths. Camera: slow orbit around the reactor island, never crossing a person path. Lighting: warm amber bath glow plus overhead cleanroom white. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-007,7,P-CJCIPA-001,CJC (no DAC)/Ipamorelin,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: CJC (no DAC)/Ipamorelin. Environment: HPLC instrument alley with stacked solvent bottles and quiet pump racks. Camera: slow push along the instrument faces toward one labeled vial at the end. Lighting: cool blue instrument LEDs, no neon, no orange. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-008,8,P-DSIP-001,DSIP,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: DSIP. Environment: lyophilizer cleanroom with frost-lined shelves visible through a viewport. Camera: slow push toward the viewport, reflections crawling across the glass. Lighting: cold cyan chamber light against warm anteroom tungsten. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-009,9,P-GHK-001,GHK-Cu,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: GHK-Cu. Environment: stability chamber corridor lined with glass-front climate cabinets. Camera: slow walk-and-hold down the corridor, cameras locked on one cabinet. Lighting: even cabinet LEDs, no hazard stripes. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
SD25-010,10,P-GLOW-001,GLOW,https://www.palmbeach-vitality.store,"HYPERREALISTIC photoreal cinema, IMAX-grade texture, 30-second SINGLE CONTINUOUS TAKE, no cuts. Camera PULLED BACK. Environment fully readable. Empty of people, hands, faces, and silhouettes. No needles. No syringes. No burn-in captions, watermarks, subtitles, logos, or poster text. No cartoon hazard graphics, no biohazard trefoils, no striped danger tape. Premium pharmaceutical manufacturing aesthetic — stainless, HEPA, sanitary finishes — not sci-fi, not a university teaching lab. Silent room tone only; no music score described as on-screen. Keep label text printed once if a product is visible. Compound lock: GLOW. Environment: copper-peptide compounding alcove with brushed-brass fixtures and white stone. Camera: slow rise from the stone counter to a single mid-ground hero. Lighting: warm museum spots, no people shadows. If a catalog product appears it is mid-ground and small in frame — never a giant close-up filling the shot. One SKU only. No mixed compounds. Photoreal materials, true optical bokeh, natural micro-dust in light beams, physically based reflections. Hold the last two seconds on the settled frame.",bytedance/seedance-2.5/text-to-video,30,720p,9:16,false,high,600,Active,0,,,
