lab_item_id,rank,category,scene_setting,environment_bucket,lab_item,material_detail,surface,lighting,camera_move,status,times_used,last_used_at,color_grade,hero_style,compound_name,shot_family,framing
SCN-001,1,shaded_forest_trail_with_dappled_light,Shaded forest trail with dappled light,forest_nature,"Wide establishing energy: Health and wellness lifestyle scene. Setting — Shaded forest trail with dappled light. The frame discovers a research pen and vial pair arranged with intentional negative space. Color story stays natural: greens, sand, linen, ocean glass. Everything sits on sand-toned stone pavers under blue-hour cool ambient with warm practical pools, materials behaving like physics not CGI. Make the still exciting enough that a slow camera move feels like entering a world. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly '5-Amino-1MQ' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Shaded forest trail with dappled light. Environment bucket: forest nature. Focal — a research pen and vial pair arranged with intentional negative space. Surface sand-toned stone pavers; lighting blue-hour cool ambient with warm practical pools. Color story stays natural: greens, sand, linen, ocean glass. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",sand-toned stone pavers,blue-hour cool ambient with warm practical pools,"locked tripod hold at eye-level, subject centered mid-frame, frozen — camera body does not travel, direction locked, then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",macro-to-environment storytelling frame,5-Amino-1MQ,static_lock,"tripod-locked eye-level hero, subject centered mid-frame"
SCN-002,2,cozy_living_room_with_floor_cushions,Cozy living room with floor cushions,home_interior,"Lifestyle wellness world: Cozy living room with floor cushions. Intimate cinematic entry: A vertical 9:16 composition builds around a sealed research pen resting like a premium design object beside wellness props. A soft breeze is implied by fabric and leaf motion cues at the edge of frame. Ground the image on smooth concrete with soft satin finish with soft overcast diffusion, even and flattering. Make the still exciting enough that a slow camera move feels like entering a world. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'AOD-9604' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Cozy living room with floor cushions. Environment bucket: home interior. Focal — a sealed research pen resting like a premium design object beside wellness props. Surface smooth concrete with soft satin finish; lighting soft overcast diffusion, even and flattering. A soft breeze is implied by fabric and leaf motion cues at the edge of frame. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",smooth concrete with soft satin finish,"soft overcast diffusion, even and flattering","creeping straight push-in from wide toward closer detail at eye-level, path is a straight forward line only (straight forward), then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",editorial wellness catalog frame,AOD-9604,push_in,"starts wide at eye-level, ends closer with detail readable"
SCN-003,3,botanical_garden_pathway,Botanical garden pathway,garden_outdoor_home,"Architectural reveal: Place the story in Botanical garden pathway, then lock focus on a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. A single shaft of sunlight picks out the product shoulder without looking staged. Surface language is woven natural fiber rug over hardwood; light language is blue-hour cool ambient with warm practical pools. Make the still exciting enough that a slow camera move feels like entering a world. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'BPC-157' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Botanical garden pathway. Environment bucket: garden outdoor home. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface woven natural fiber rug over hardwood; lighting blue-hour cool ambient with warm practical pools. A single shaft of sunlight picks out the product shoulder without looking staged. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",woven natural fiber rug over hardwood,blue-hour cool ambient with warm practical pools,"start on extreme close texture then creeping straight pull-back to full hero at eye-level, path is a straight retreat only (straight backward), then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",environment-first lifestyle still with quiet product presence,BPC-157,pull_back,"starts on extreme close texture, pulls back to full product at eye-level"
SCN-004,4,sunrise_beach_yoga_on_soft_sand,Sunrise beach yoga on soft sand,beach_coast,"Quiet lifestyle tableau: Health and wellness lifestyle scene. Setting — Sunrise beach yoga on soft sand. The frame discovers a small clear research vial and matching carton silhouette staged as quiet product jewelry. Reflections stay honest — no cloned second hero object. Everything sits on woven natural fiber rug over hardwood under sunrise rim light with gentle haze, materials behaving like physics not CGI. Make the still exciting enough that a slow camera move feels like entering a world. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'BPC-157/TB-500' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Sunrise beach yoga on soft sand. Environment bucket: beach coast. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface woven natural fiber rug over hardwood; lighting sunrise rim light with gentle haze. Reflections stay honest — no cloned second hero object. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",woven natural fiber rug over hardwood,sunrise rim light with gentle haze,"creeping vertical rise from base of subject to top detail at eye-level rising, path is a straight up-line only (straight up), then hold",Active,0,,"editorial lifestyle catalog grade, high clarity, low drama",premium coastal lifestyle direction,BPC-157/TB-500,vertical_rise,"begins at base of subject, rises to upper detail, eye-level rising"
SCN-005,5,modern_kitchen_island_with_fresh_juice_prep,Modern kitchen island with fresh juice prep,kitchen_cafe,"Lifestyle wellness world: Modern kitchen island with fresh juice prep. Golden-hour atmosphere: A vertical 9:16 composition builds around a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. The scene feels lived-in and calm, never clinical or laboratory. Ground the image on cool marble with gentle veining with hard midday sun softened by open shade. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'Cagrilinitide' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Modern kitchen island with fresh juice prep. Environment bucket: kitchen cafe. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface cool marble with gentle veining; lighting hard midday sun softened by open shade. The scene feels lived-in and calm, never clinical or laboratory. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",cool marble with gentle veining,hard midday sun softened by open shade,"creeping vertical descend from above subject into settled hero at high settling to eye-level, path is a straight down-line only (straight down), then hold",Active,0,,soft morning pastel grade with clean whites,macro-to-environment storytelling frame,Cagrilinitide,vertical_descend,"starts above subject, settles downward to high settling to eye-level hero"
SCN-006,6,rooftop_terrace_at_golden_hour,Rooftop terrace at golden hour,urban_park,"Fresh morning clarity: Place the story in Rooftop terrace at golden hour, then lock focus on an elegant research vial on a stone coaster, label facing camera once only. A single shaft of sunlight picks out the product shoulder without looking staged. Surface language is smooth concrete with soft satin finish; light language is sunrise rim light with gentle haze. Compose as a vertical 9:16 hero still that could open a premium Instagram reel. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'CJC' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Rooftop terrace at golden hour. Environment bucket: urban park. Focal — an elegant research vial on a stone coaster, label facing camera once only. Surface smooth concrete with soft satin finish; lighting sunrise rim light with gentle haze. A single shaft of sunlight picks out the product shoulder without looking staged. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",smooth concrete with soft satin finish,sunrise rim light with gentle haze,"creeping lateral slide left to right starting left of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",Active,0,,warm coastal wellness grade with honest neutrals,premium coastal lifestyle direction,CJC,lateral_ltr,subject off-center; camera slides left to right at eye-level
SCN-007,7,home_gym_corner_with_resistance_bands,Home gym corner with resistance bands,fitness,"Editorial wellness frame: Health and wellness lifestyle scene. Setting — Home gym corner with resistance bands. The frame discovers a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Negative space breathes; nothing feels cluttered or prop-dumped. Everything sits on soft limestone with coastal texture under soft overcast diffusion, even and flattering, materials behaving like physics not CGI. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'CJC (no DAC)/Ipamorelin' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Home gym corner with resistance bands. Environment bucket: fitness. Focal — a single crimped-seal rubber-septum research vial catching soft rim light on a natural surface. Surface soft limestone with coastal texture; lighting soft overcast diffusion, even and flattering. Negative space breathes; nothing feels cluttered or prop-dumped. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",soft limestone with coastal texture,"soft overcast diffusion, even and flattering","creeping lateral slide right to left starting right of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",Active,0,,soft morning pastel grade with clean whites,architecture-and-atmosphere establishing shot,CJC (no DAC)/Ipamorelin,lateral_rtl,subject off-center; camera slides right to left at eye-level
SCN-008,8,lakeside_dock_at_dusk,Lakeside dock at dusk,water_calm,"Lifestyle wellness world: Lakeside dock at dusk. Coastal living brochure energy: A vertical 9:16 composition builds around a thoughtfully arranged wellness still-life with premium empty space for the eye to rest. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Ground the image on woven natural fiber rug over hardwood with candle-warm evening practicals plus cool window fill. Use negative space generously so the lifestyle setting feels expansive. This is outdoor/home atmosphere for Palm Beach Vitality — not a cleanroom, not a bench dump, not a sterile lab. Keep the space unoccupied by people or procedure props. Do not print scene titles, captions, hex codes, watermarks, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Lakeside dock at dusk. Environment bucket: water calm. Focal — a thoughtfully arranged wellness still-life with premium empty space for the eye to rest. Surface woven natural fiber rug over hardwood; lighting candle-warm evening practicals plus cool window fill. Depth builds with foreground blur, mid-ground hero, soft background atmosphere. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",woven natural fiber rug over hardwood,candle-warm evening practicals plus cool window fill,"creeping overhead descend straight down from higher overhead into true top-down 90 degrees composition, path is a straight vertical drop only, then hold",Active,0,,golden-hour amber grade restrained by true skin-free neutrals,premium coastal lifestyle direction,,top_down,overhead geometric catalog composition at true top-down 90 degrees
SCN-009,9,mountain_overlook_at_sunrise,Mountain overlook at sunrise,lifestyle_general,"Wide establishing energy: Place the story in Mountain overlook at sunrise, then lock focus on a small clear research vial and matching carton silhouette staged as quiet product jewelry. Color story stays natural: greens, sand, linen, ocean glass. Surface language is soft limestone with coastal texture; light language is dappled leaf-filtered sunlight. Compose as a vertical 9:16 hero still that could open a premium Instagram reel. Sell modern health-and-wellness atmosphere with subtle research-product presence for Palm Beach Vitality. Photoreal only. No occupants, no medical theater. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'GHK-Cu' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Mountain overlook at sunrise. Environment bucket: lifestyle general. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface soft limestone with coastal texture; lighting dappled leaf-filtered sunlight. Color story stays natural: greens, sand, linen, ocean glass. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",soft limestone with coastal texture,dappled leaf-filtered sunlight,"slow tilt-up from underside to eye level at low-angle power pose, pivot only (tilt up only) — camera body does not truck around subject, then hold",Active,0,,cool blue-hour coastal grade with warm interior accents,calm spa-adjacent home still without clinical cues,GHK-Cu,tilt_up,low-angle power pose looking upward; starts on underside
SCN-010,10,winding_nature_trail_through_tall_grass,Winding nature trail through tall grass,forest_nature,"Intimate cinematic entry: Health and wellness lifestyle scene. Setting — Winding nature trail through tall grass. The frame discovers a small clear research vial and matching carton silhouette staged as quiet product jewelry. Negative space breathes; nothing feels cluttered or prop-dumped. Everything sits on soft limestone with coastal texture under twilight gradient sky wash, materials behaving like physics not CGI. Prioritize photoreal materials: wood grain, linen weave, glass weight, sand, foliage. Palm Beach Vitality premium wellness-world storytelling — exciting, calm, and never a laboratory set. Empty of people; no clinical procedure staging. If any vial, pen, carton panel, or plaque shows a product name, it must read exactly 'GLOW' only — never invent other compound names, and never add research-use disclaimer lines on the label. Do not print scene titles, captions, hex codes, or legal footnotes anywhere in frame. Absolutely no burn-in text, lower thirds, watermarks, or readable signage except an optional exact research compound label printed once only. NO DOUBLES: never tile, stack, or repeat any text, diagram, or prop.","Scene setting (exact): Winding nature trail through tall grass. Environment bucket: forest nature. Focal — a small clear research vial and matching carton silhouette staged as quiet product jewelry. Surface soft limestone with coastal texture; lighting twilight gradient sky wash. Negative space breathes; nothing feels cluttered or prop-dumped. Keep the scene photoreal, lifestyle-forward, and vertically composed. No lab benches, cleanrooms, or clinical spa treatments as the main set. No watermarks, captions, scene titles, or codes burned into the frame.",soft limestone with coastal texture,twilight gradient sky wash,"slow tilt-down from upper rim onto the subject at high looking down, pivot only (tilt down only) — no lateral looping path, then hold",Active,0,,cool blue-hour coastal grade with warm interior accents,macro-to-environment storytelling frame,GLOW,tilt_down,high looking down; starts at upper rim then tips down onto product
