Type,SKU,Name,Published,Visibility in catalog,Short description,Tax status,In stock?,Regular price,Categories,Tags
simple,PBV-BPC-157-10MG,BPC-157 10mg Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,140.00,Peptides,vial
simple,PBV-BPC-157-20MG,BPC-157 20mg Vial,1,visible,Research-use peptide vial.,taxable,1,170.00,Peptides,vial
simple,PBV-AOD-9604,AOD-9604 Vial,1,visible,Research-use peptide vial.,taxable,1,110.00,Peptides,vial
simple,PBV-CARGRILINITIDE,Cargrilinitide Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,110.00,Peptides,vial
simple,PBV-CJC,CJC Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,110.00,Peptides,vial
simple,PBV-CJC-IPAMORELIN-VIAL,CJC/Ipamorelin Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,195.00,Peptides,vial
simple,PBV-GHK-CU-VIAL,GHK-cu Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
simple,PBV-GLOW-VIAL,GLOW Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,230.00,Peptides,vial
simple,PBV-KLOW-VIAL,KLOW Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,230.00,Peptides,vial
simple,PBV-MELONOTAN,Melonotan Vial,1,visible,Research-use peptide vial.,taxable,1,85.00,Peptides,vial
simple,PBV-MOTS-C-VIAL,MOTS-C Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,160.00,Peptides,vial
simple,PBV-NAD-1,NAD+ 1000mg Vial,1,visible,Research-use peptide vial.,taxable,1,120.00,Peptides,vial
simple,PBV-NAD-500MG,NAD+ 500mg Vial,1,visible,Research-use peptide vial.,taxable,1,90.00,Peptides,vial
simple,PBV-PT-141-VIAL,PT-141 Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
simple,PBV-SELANK-VIAL,Selank Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
simple,PBV-SEMAX-VIAL,Semax Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
simple,PBV-SERMORELIN-VIAL,Sermorelin Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,170.00,Peptides,vial
simple,PBV-SS-31-VIAL,SS-31 Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,200.00,Peptides,vial
simple,PBV-TA-1,TA-1 Vial,1,visible,Research-use peptide vial.,taxable,1,110.00,Peptides,vial
simple,PBV-TB-500,TB-500 Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,110.00,Peptides,vial
simple,PBV-TESAMORELIN-VIAL,Tesamorelin Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
simple,PBV-WOLVERINE-VIAL,Wolverine Vial,1,visible,Research-use peptide vial. Price placeholder — confirm before selling.,taxable,1,150.00,Peptides,vial
