Number,Scene Setting
1,"Sunrise beach yoga on soft sand"
2,"Modern kitchen island with fresh juice prep"
3,"Rooftop terrace at golden hour"
4,"Shaded forest trail with dappled light"
5,"Cozy living room with floor cushions"
6,"Lakeside dock at dusk"
7,"Home gym corner with resistance bands"
8,"Botanical garden pathway"
9,"Outdoor patio with hanging plants"
10,"Mountain overlook at sunrise"
11,"Minimalist bedroom with natural light"
12,"Coastal boardwalk at blue hour"
13,"Backyard garden with raised beds"
14,"Sunlit yoga studio loft"
15,"Quiet park bench under old oak trees"
16,"Modern balcony overlooking the ocean"
17,"Smoothie bar counter at a healthy café"
18,"Winding nature trail through tall grass"
19,"Soft-lit meditation nook at home"
20,"Rocky shoreline with gentle waves"
21,"Open-air pavilion in a public park"
22,"Kitchen windowsill herb garden"
23,"Desert canyon trail at golden hour"
24,"Minimalist home office with standing desk"
25,"Flower-filled meadow at midday"
26,"Covered porch with hanging swing"
27,"Urban green rooftop garden"
28,"Crystal-clear swimming hole in the woods"
29,"Bright living room with large plants"
30,"Beachside picnic setup with fresh fruit"
31,"Foggy morning forest path"
32,"Clean, bright home kitchen at sunrise"
33,"Cliffside trail overlooking the ocean"
34,"Cozy reading corner with soft blankets"
35,"Community garden plot"
36,"Wooden pier stretching over calm water"
37,"Open-concept apartment with floor-to-ceiling windows"
38,"Rolling green hills at sunset"
39,"Outdoor shower enclosed by tropical plants"
40,"Quiet riverside walking path"
41,"Sun-drenched home studio space"
42,"Palm tree-lined neighborhood street"
43,"Mossy woodland clearing"
44,"Modern courtyard with water feature"
45,"Kitchen table set with colorful produce"
46,"Elevated deck with ocean breeze"
47,"Wildflower field in late afternoon"
48,"Minimalist bathroom with natural light and plants"
49,"Dirt trail through tall pines"
50,"Rooftop pool deck at twilight"
51,"Soft morning light in a plant-filled living room"
52,"Secluded cove with calm water"
53,"Outdoor fitness area under string lights"
54,"Quiet suburban backyard at golden hour"
55,"Bamboo grove pathway"
56,"Bright breakfast nook with big windows"
57,"Rocky mountain stream"
58,"Minimalist balcony garden"
59,"Open grassy park at sunrise"
60,"Coastal dune trail"
61,"Soft-lit evening living room with candles"
62,"Winding vineyard path (no alcohol focus)"
63,"Modern home gym with rubber flooring"
64,"Shaded picnic table under trees"
65,"Foggy lakeshore at dawn"
66,"Clean white kitchen with marble counters"
67,"Elevated wooden boardwalk through wetlands"
68,"Cozy attic room converted into a wellness space"
69,"Sunlit hallway lined with plants"
70,"Quiet beach at low tide"
71,"Outdoor yoga platform in a backyard"
72,"Rolling farmland path at golden hour"
73,"Minimalist loft with exposed beams"
74,"Hidden waterfall pool in the woods"
75,"Bright sunroom filled with greenery"
76,"Neighborhood walking path at blue hour"
77,"Clean, modern laundry room with natural light (fresh towels vibe)"
78,"Cliffside lookout with panoramic views"
79,"Soft rug on hardwood floor for stretching"
80,"Tropical resort-style cabana (no medical spa)"
81,"Quiet country road lined with trees"
82,"Open kitchen with large island and morning light"
83,"Rocky desert path at sunset"
84,"Plant-filled corner of a bright bedroom"
85,"Calm lagoon shoreline"
86,"Covered outdoor kitchen with healthy prep"
87,"Soft hillside trail overlooking a valley"
88,"Minimalist entryway with plants and natural wood"
89,"Quiet city park fountain area"
90,"Sun-drenched wooden deck"
91,"Moss-covered forest floor clearing"
92,"Bright, airy loft living space"
93,"Gentle riverbank with smooth stones"
94,"Outdoor morning coffee spot with ocean view"
95,"Clean garage converted into a home gym"
96,"Flowering orchard path"
97,"Soft evening light on a screened porch"
98,"Elevated coastal trail with sea breeze"
99,"Minimalist home meditation space with low table"
100,"Wide open beach at soft sunset"
