creation_id,rank,scene_id,category,scene_brief,quality_var_count,quality_suffix,aspect_ratio,duration_seconds,resolution,model_still,model_video,video_prompt,status,times_used,last_used_at
PBVita-Reel-001,1,296,"Abstract, Artistic & Cinematic Science","Camera moving through layers of translucent scientific glass, featuring pre-filled research pen, soft rim light from behind, slow 360° orbit at eye level.",12,"ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, tack sharp, crystal clear, ultra sharp, 8k resolution, photorealistic, hyperrealistic, ultra realistic, HDR",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Camera moving through layers of translucent scientific glass, featuring pre-filled research pen, soft rim light from behind, slow 360° orbit at eye level.. Quality: ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, tack sharp, crystal clear, ultra sharp, 8k resolution, photorealistic, hyperrealistic, ultra realistic, HDR. creation motif 001/500 · scene 296. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-002,2,586,Extreme Detail & Texture Studies,"Texture / detail study: liquid droplet surface tension and highlight play in extreme macro, volumetric god rays through haze, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, ultra sharp, ultra realistic, cinematic lighting, rich contrast, polished look, refined details, realistic textures, intricate textures",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Texture / detail study: liquid droplet surface tension and highlight play in extreme macro, volumetric god rays through haze, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, ultra sharp, ultra realistic, cinematic lighting, rich contrast, polished look, refined details, realistic textures, intricate textures. creation motif 002/500 · scene 586. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-003,3,521,"Hybrid, Transition & Special Shots","Special / hybrid shot: soft-to-sharp rack focus traveling across a row of identical research units. Centered on precision research pen, soft diffused overhead, subtle handheld micro-movement.",12,"ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, dramatic lighting, high dynamic range, creamy bokeh, premium aesthetic, clean and crisp, realistic textures, detailed surface texture, realistic reflections",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Special / hybrid shot: soft-to-sharp rack focus traveling across a row of identical research units. Centered on precision research pen, soft diffused overhead, subtle handheld micro-movement.. Quality: ultra detailed, extremely detailed, hyper-detailed, razor sharp focus, dramatic lighting, high dynamic range, creamy bokeh, premium aesthetic, clean and crisp, realistic textures, detailed surface texture, realistic reflections. creation motif 003/500 · scene 521. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-004,4,134,Laboratory & Scientific Environments,"Research pen with visible liquid barrel under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.",12,"ultra detailed, extremely detailed, hyper-detailed, tack sharp, 8k resolution, ultra realistic, volumetric lighting, detailed surface texture, ambient occlusion, soft shadows, realistic reflections, medium format look",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Research pen with visible liquid barrel under soft blue-white cleanroom lighting, cool clinical blue-white LED, in clean negative space, low angle tracking slide.. Quality: ultra detailed, extremely detailed, hyper-detailed, tack sharp, 8k resolution, ultra realistic, volumetric lighting, detailed surface texture, ambient occlusion, soft shadows, realistic reflections, medium format look. creation motif 004/500 · scene 134. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-005,5,491,Lifestyle & Context (Research-Forward),"Context still life: clean architectural surface with strong geometric lines and the product. Featuring precision research pen, soft rim light from behind, slow 360° orbit at eye level.",12,"ultra detailed, extremely detailed, hyper-detailed, crystal clear, ultra sharp, 8k resolution, volumetric lighting, creamy bokeh, elegant framing, premium aesthetic, detailed surface texture, global illumination",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Context still life: clean architectural surface with strong geometric lines and the product. Featuring precision research pen, soft rim light from behind, slow 360° orbit at eye level.. Quality: ultra detailed, extremely detailed, hyper-detailed, crystal clear, ultra sharp, 8k resolution, volumetric lighting, creamy bokeh, elegant framing, premium aesthetic, detailed surface texture, global illumination. creation motif 005/500 · scene 491. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-006,6,408,Lighting & Mood Variations,"Mood lighting study: cold storage fluorescent feel with soft green-blue cast. Product is dual research pens side by side, captured with gentle top-down descending crane.",12,"ultra detailed, extremely detailed, hyper-detailed, crystal clear, cinematic lighting, volumetric lighting, high dynamic range, shallow depth of field, perfect composition, clean and crisp, global illumination, ambient occlusion",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Mood lighting study: cold storage fluorescent feel with soft green-blue cast. Product is dual research pens side by side, captured with gentle top-down descending crane.. Quality: ultra detailed, extremely detailed, hyper-detailed, crystal clear, cinematic lighting, volumetric lighting, high dynamic range, shallow depth of field, perfect composition, clean and crisp, global illumination, ambient occlusion. creation motif 006/500 · scene 408. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-007,7,196,Molecular & Chemical Structure Visuals,"Abstract particle-based structure of a peptide chain, against pure black void, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.",12,"ultra detailed, extremely detailed, hyper-detailed, ultra sharp, ultra realistic, studio lighting, perfect exposure, perfect composition, refined details, high-end commercial look, editorial photography style, DSLR sharpness",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Abstract particle-based structure of a peptide chain, against pure black void, volumetric god rays through haze, with abstract geometric light patterns, fast resolve into locked hero frame.. Quality: ultra detailed, extremely detailed, hyper-detailed, ultra sharp, ultra realistic, studio lighting, perfect exposure, perfect composition, refined details, high-end commercial look, editorial photography style, DSLR sharpness. creation motif 007/500 · scene 196. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-008,8,614,Multi-Product & Collection Arrangements,"Collection arrangement: products at different rotation angles creating rhythmic visual pattern, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.",12,"ultra detailed, extremely detailed, hyper-detailed, 8k resolution, dramatic lighting, high dynamic range, premium aesthetic, polished look, refined details, ambient occlusion, realistic reflections, professional photography",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Collection arrangement: products at different rotation angles creating rhythmic visual pattern, cool overhead fluorescent lab feel, with soft shadow only, extreme high angle looking straight down.. Quality: ultra detailed, extremely detailed, hyper-detailed, 8k resolution, dramatic lighting, high dynamic range, premium aesthetic, polished look, refined details, ambient occlusion, realistic reflections, professional photography. creation motif 008/500 · scene 614. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-009,9,29,Product Hero & Macro,"Side profile of single research pen standing upright showing liquid refraction, cool overhead fluorescent lab feel, extreme high angle looking straight down.",12,"ultra detailed, extremely detailed, hyper-detailed, hyperrealistic, cinematic lighting, soft diffused lighting, rim lighting, shallow depth of field, elegant framing, high fidelity, intricate textures, global illumination",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Side profile of single research pen standing upright showing liquid refraction, cool overhead fluorescent lab feel, extreme high angle looking straight down.. Quality: ultra detailed, extremely detailed, hyper-detailed, hyperrealistic, cinematic lighting, soft diffused lighting, rim lighting, shallow depth of field, elegant framing, high fidelity, intricate textures, global illumination. creation motif 009/500 · scene 029. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
PBVita-Reel-010,10,211,"Production, Process & Manufacturing","Stylized research process: clear liquid being gently transferred between sterile vessels, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.",12,"ultra detailed, extremely detailed, hyper-detailed, dramatic lighting, soft diffused lighting, rim lighting, high dynamic range, shallow depth of field, elegant framing, polished look, global illumination, realistic reflections",9:16,8,1080p,grok-imagine-image-2.0,grok-imagine-video-1.5,"Photoreal vertical 9:16 Palm Beach Vitality laboratory research catalog film, chemical research material only, premium American research aesthetic, no people, no faces, no hands, no needles, no injection, no clinic, no gym, no lifestyle, no wellness claims, no nicknames. Scene: Stylized research process: clear liquid being gently transferred between sterile vessels, soft rim light from behind, with soft particle haze, slow 360° orbit at eye level.. Quality: ultra detailed, extremely detailed, hyper-detailed, dramatic lighting, soft diffused lighting, rim lighting, high dynamic range, shallow depth of field, elegant framing, polished look, global illumination, realistic reflections. creation motif 010/500 · scene 211. Keep product identity and any on-screen research typography sharp and unchanged. For laboratory research use only. Not for human use or consumption.",Active,0,
