Product,Pen or vial,Total mg,Price,Shelf life refrigerated,Notes,URL,Category,Scraped,Source
5 Amino MQ Pen,Pen,50 mg 5-Amino-1MQ,$180.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/5-amino-mq-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
AOD-9604 Vial,Vial,10 mg AOD-9604,$110.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/aod-9604/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
BPC-157 10mg Vial,Vial,10 mg BPC-157,$140.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/bpc-157-10mg-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
BPC-157 20mg Pen,Pen,20 mg,$150.00,Store refrigerated (duration not listed on page),,https://palmbeach-vitality.store/product/bpc-157-20mg-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
BPC-157 20mg Vial,Vial,20 mg BPC-157,$170.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/bpc-157-20mg/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
Cargrilinitide Vial,Vial,25 mg Cagrilintide,$250.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/cargrilinitide-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
CJC Vial,Vial,100 mg CJC (no DAC),$110.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/cjc-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
CJC/Ipamorelin Pen,Pen,10 mg CJC (no DAC); 10 mg Ipamorelin,$195.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/cjc-ipamorelin-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
CJC/Ipamorelin Vial,Vial,10 mg CJC (no DAC); 10 mg Ipamorelin,$195.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/cjc-ipamorelin-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
DSIP Pen,Pen,5 mg DSIP,$200.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/dsip-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
GHK-Cu Pen,Pen,50 mg GHK-Cu,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/ghk-cu-pen/,"Peptide, Peptide Pens",2026-08-27,https://palmbeach-vitality.store/shop/
GHK-Cu Vial,Vial,50 mg GHK-Cu,$150.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/ghk-cu-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
GLOW Pen,Pen,10 mg BPC-157; 10 mg TB-500; 50 mg GHK-Cu,$230.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/glow-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
GLOW Vial,Vial,10 mg BPC-157; 10 mg TB-500; 50 mg GHK-Cu,$230.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/glow-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
KLOW Pen,Pen,10 mg KPV; 10 mg BPC-157; 10 mg TB-500; 50 mg GHK-Cu,$230.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/klow-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
KLOW Vial,Vial,10 mg KPV; 10 mg BPC-157; 10 mg TB-500; 50 mg GHK-Cu,$230.00,4–6 weeks refrigerated (2–8°C),"Blend — amounts are per compound, not a single total.",https://palmbeach-vitality.store/product/klow-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
KPV Pen,Pen,10 mg KPV,$175.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/kpv-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
Melonotan Vial,Vial,10 mg Melanotan II,$85.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/melonotan/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
MOTS-C Pen,Pen,20 mg MOTS-c,$160.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/mots-c-pen/,Peptide Pens,2026-08-27,https://palmbeach-vitality.store/shop/
MOTS-C Vial,Vial,20 mg MOTS-c,$160.00,4–6 weeks refrigerated (2–8°C),,https://palmbeach-vitality.store/product/mots-c-vial/,Peptides,2026-08-27,https://palmbeach-vitality.store/shop/
