Type,ID,SKU,Name,Description
simple,197,PBV-RETATRUTIDE-8MG-PEN,Retatrutide 8mg Pen,"<p dir=""auto""><strong>Retatrutide 0.4 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 8 mg 0.4 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 8 mg</li>
<li>Volume: 0.4 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 16 mg, 24 mg, 32 mg, 40 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 0.4 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,199,PBV-RETATRUTIDE-16MG-PEN,Retatrutide 16mg Pen,"<p dir=""auto""><strong>Retatrutide 0.8 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 16 mg 0.8 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 16 mg</li>
<li>Volume: 0.8 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 8 mg, 24 mg, 32 mg, 40 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 0.8 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,201,PBV-RETATRUTIDE-24MG-PEN,Retatrutide 24mg Pen,"<p dir=""auto""><strong>Retatrutide 1.2 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 24 mg 1.2 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 24 mg</li>
<li>Volume: 1.2 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 8 mg, 16 mg, 32 mg, 40 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 1.2 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,203,PBV-RETATRUTIDE-32MG-PEN,Retatrutide 32mg Pen,"<p dir=""auto""><strong>Retatrutide 1.6 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 32 mg 1.6 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 32 mg</li>
<li>Volume: 1.6 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 8 mg, 16 mg, 24 mg, 40 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 1.6 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,204,PBV-RETATRUTIDE-40MG-PEN,Retatrutide 40mg Pen,"<p dir=""auto""><strong>Retatrutide 2 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 40 mg 2 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 40 mg</li>
<li>Volume: 2 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research pen strengths:</strong> 8 mg, 16 mg, 24 mg, 32 mg, 40 mg, 48 mg. Compare formats on the Retatrutide research hub.</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 2 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,828,RETATRUTIDE_48MG_PEN,Retatrutide 48mg Pen,"<p dir=""auto""><strong>Retatrutide 2.4 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Retatrutide is a synthetic investigational peptide studied as a multi-receptor agonist at GLP-1, GIP, and glucagon receptor pathways.</p>
<p dir=""auto""><strong>Product Specifications – Retatrutide 48 mg 2.4 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Retatrutide: 48 mg</li>
<li>Volume: 2.4 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Incretin and glucagon receptor pathway research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 2.4 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,181,PBV-TIRZEPATIDE-10MG-PEN,Tirzepatide 10mg Pen,"<p dir=""auto""><strong>Tirzepatide 0.5 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tirzepatide is a synthetic investigational peptide studied as a dual GIP/GLP-1 receptor agonist research tool.</p>
<p dir=""auto""><strong>Product Specifications – Tirzepatide 10 mg 0.5 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tirzepatide: 10 mg</li>
<li>Volume: 0.5 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 20 mg, 30 mg, 40 mg, 50 mg, 60 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Dual GIP and GLP-1 receptor research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 0.5 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,183,PBV-TIRZEPATIDE-20MG-PEN,Tirzepatide 20mg Pen,"<p dir=""auto""><strong>Tirzepatide 1 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tirzepatide is a synthetic investigational peptide studied as a dual GIP/GLP-1 receptor agonist research tool.</p>
<p dir=""auto""><strong>Product Specifications – Tirzepatide 20 mg 1 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tirzepatide: 20 mg</li>
<li>Volume: 1 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 10 mg, 30 mg, 40 mg, 50 mg, 60 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Dual GIP and GLP-1 receptor research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 1 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,185,PBV-TIRZEPATIDE-30MG-PEN,Tirzepatide 30mg Pen,"<p dir=""auto""><strong>Tirzepatide 1.5 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tirzepatide is a synthetic investigational peptide studied as a dual GIP/GLP-1 receptor agonist research tool.</p>
<p dir=""auto""><strong>Product Specifications – Tirzepatide 30 mg 1.5 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tirzepatide: 30 mg</li>
<li>Volume: 1.5 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 10 mg, 20 mg, 40 mg, 50 mg, 60 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Dual GIP and GLP-1 receptor research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 1.5 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
simple,187,PBV-TIRZEPATIDE-40MG-PEN,Tirzepatide 40mg Pen,"<p dir=""auto""><strong>Tirzepatide 2 mL Pen</strong></p>
<p dir=""auto""><strong>The Science, Simplified:</strong> Tirzepatide is a synthetic investigational peptide studied as a dual GIP/GLP-1 receptor agonist research tool.</p>
<p dir=""auto""><strong>Product Specifications – Tirzepatide 40 mg 2 mL Pen</strong></p>
<ul dir=""auto"">
<li>Total Tirzepatide: 40 mg</li>
<li>Volume: 2 mL pre-filled pen</li>
<li>Concentration: 20 mg/mL</li>
<li>Purity: ≥99%, third-party tested (COA available)</li>
<li>Format: Ready-to-use multi-dose pre-filled pen</li>
<li><strong>Also available research strengths:</strong> 10 mg, 20 mg, 30 mg, 50 mg, 60 mg pens</li>
</ul>
<p dir=""auto""><strong>Key Research Focus:</strong> Dual GIP and GLP-1 receptor research.</p>
<p dir=""auto""><strong>Physical Form &amp; Solubility:</strong></p>
<ul dir=""auto"">
<li>Appearance: Clear to slightly opalescent liquid</li>
<li>Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.</li>
</ul>
<p dir=""auto""><strong>Pen Format Details:</strong> The 2 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.</p>
<p dir=""auto""><strong>Stability &amp; Handling Notes:</strong></p>
<ul dir=""auto"">
<li>Refrigerated at 2–8°C (36–46°F). Practical shelf life is <strong>4–6 weeks</strong> when protected from light and handled with aseptic technique.</li>
<li>Do not freeze. Avoid prolonged room-temperature exposure.</li>
<li>Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.</li>
<li>Protect from light and moisture at all times.<img src=""https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_6.jpg?v=1784397241"" alt=""""> </li>
</ul>"
