Type,SKU,Name,Images
simple,PBV-BPC-157-10MG,BPC-157 10mg Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/BPC-157.jpg
simple,PBV-CARGRILINITIDE,Cargrilinitide Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/CARGRILINITIDE.jpg
simple,PBV-CJC-VIAL,CJC Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/CJC.jpg
simple,PBV-CJC-IPAMORELIN-VIAL,CJC Ipamorelin Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_87.jpg
simple,PBV-GHK-CU-VIAL,GHK-cu Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_88.jpg
simple,PBV-GLOW-VIAL,GLOW Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_89.jpg
simple,PBV-KLOW-VIAL,KLOW Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/KLOW.jpg
simple,PBV-MOTS-C-VIAL,MOTS-C Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/image_86.jpg
simple,PBV-PT-141-VIAL,PT-141 Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/PT-141.jpg
simple,PBV-SEMAX-VIAL,Semax Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/SEMAX.jpg
simple,PBV-SS-31-VIAL,SS-31 Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/SS-31.jpg
simple,PBV-TB-500-VIAL,TB-500 Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/TB-500.jpg
simple,PBV-TESAMORELIN-VIAL,Tesamorelin Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/TESAMORELIN.jpg
simple,PBV-SELANK-VIAL,Selank Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Selank_pen.jpg
simple,PBV-SERMORELIN-VIAL,Sermorelin Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Sermorelin_pen.jpg
simple,PBV-WOLVERINE-VIAL,Wolverine Vial,https://cdn.shopify.com/s/files/1/1056/1447/5345/files/Wolverine_pen.jpg
