scene_id,scene_category,scene_name,lab_environment,camera,lighting,product_hero,product_form_detail,compound_id,compound_name,canonical_url,scene_brief,caption_lock,status,rotation_order,last_used_date
SCN-001,peptide_synthesis,Peptide synthesis · capped pen,"Wide establishing energy: Peptide synthesis & solid-phase chemistry. Inside a soft-pink wellness R&D studio cooled by clinical steel islands. Chrome legs of an anti-vibration table draw leading lines toward the hero. A slow sense of discovery in the empty room. Treat the environment as a character — the peptide research story is told by place, light, and material.","static_lock, eye-level, no travel / locked: locked tripod hold at eye-level, subject centered mid-frame, frozen — camera body does not travel, direction locked, then hold",under-cabinet ribbon light and dark ceiling void,research pen on mirrored chrome plate,"hard specular highlights, product catalog, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-BPC-001,BPC-157,https://www.palmbeach-vitality.store/products/#bpc-157,"peptide synthesis · research pen on mirrored chrome plate · hard specular highlights, product catalog, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a soft-pink wellness R&D studio cooled by clinical steel islands · under-cabinet ribbon light and dark ceiling void · shot:static_lock · cap ON · label:BPC-157","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,1,
SCN-002,formulation_suite,Formulation · capped pen,Intimate cinematic entry: Formulation & compounding research suites. Inside a sports-performance science lab with force-plate flooring and calibrated gear racks. A floating shelf casts a hard shadow that slices the composition into thirds. The hush of validated equipment between runs. Use negative space generously so the scene breathes and never feels like a cluttered bench dump.,"push_in, eye-level, forward: creeping straight push-in from wide toward closer detail at eye-level, path is a straight forward line only (straight forward), then hold",noir side light with controlled speculars on glass and metal,frosted research pen body with metal clip,"matte body texture, metal pocket clip, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-RETA-001,Retatrutide,https://www.palmbeach-vitality.store/products/#retatrutide,"formulation suite · frosted research pen body with metal clip · matte body texture, metal pocket clip, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a sports-performance science lab with force-plate flooring and calibrated gear r · noir side light with controlled speculars on glass and metal · shot:push_in · cap ON · label:Retatrutide","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,2,
SCN-003,wellness_retail_lab,Boutique wellness × lab hybrid spaces · capped pen,Architectural reveal: Boutique wellness × lab hybrid spaces. Inside a QC war-room with blank monitors and a single illuminated chromatogram print. Solvent fumes are absent; instead you smell nothing — pure visual sterile fantasy. A showroom-ready stillness that still feels operational. Use negative space generously so the scene breathes and never feels like a cluttered bench dump.,"pull_back, eye-level, backward: start on extreme close texture then creeping straight pull-back to full hero at eye-level, path is a straight retreat only (straight backward), then hold",fluorescence-inspired cyan accent without neon cartoon glow,research pen silhouette edge-lit,"rim light outlining form, cap on, dark field; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-GHK-001,GHK-Cu,https://www.palmbeach-vitality.store/products/#ghk-cu,"wellness retail lab · research pen silhouette edge-lit · rim light outlining form, cap on, dark field; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a QC war-room with blank monitors and a single illuminated chromatogram print · fluorescence-inspired cyan accent without neon cartoon glow · shot:pull_back · cap ON · label:GHK-Cu","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,3,
SCN-004,wellness_innovation,Health · capped pen,"Macro-world portal: Health & wellness innovation studios. Inside a silent metrology room with granite tables and vibration-isolated instruments. Rain streaks the exterior glass while the interior stays surgically dry. The tension between wellness softness and lab rigor. Make the still exciting enough that a slow camera move will feel like entering a world, not inspecting a SKU.","vertical_rise, eye-level rising, up: creeping vertical rise from base of subject to top detail at eye-level rising, path is a straight up-line only (straight up), then hold",museum track lighting with narrow beams on pedestals,research pen rubber grip section macro,"grip texture, dial collar, capped tip cover on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-NAD-001,NAD+,https://www.palmbeach-vitality.store/products/#nad,"wellness innovation · research pen rubber grip section macro · grip texture, dial collar, capped tip cover on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a silent metrology room with granite tables and vibration-isolated instruments · museum track lighting with narrow beams on pedestals · shot:vertical_rise · cap ON · label:NAD+","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,4,
SCN-005,pilot_scale,Pilot-scale process development · capped pen,"After-hours R&D atmosphere: Pilot-scale process development. Inside a moonlit rooftop observatory deck adjacent to a molecular biology suite. A mezzanine railing frames the scene like an architecture photograph. An almost theatrical reveal of research craftsmanship. Prioritize photoreal materials: glass weight, metal wear, frost, epoxy sheen, fabric sterile blues.","vertical_descend, high settling to eye-level, down: creeping vertical descend from above subject into settled hero at high settling to eye-level, path is a straight down-line only (straight down), then hold",under-cabinet ribbon light and dark ceiling void,frosted research pen body with metal clip,"matte body texture, metal pocket clip, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-SEMA-001,Semaglutide,https://www.palmbeach-vitality.store/products/#semaglutide,"pilot scale · frosted research pen body with metal clip · matte body texture, metal pocket clip, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a moonlit rooftop observatory deck adjacent to a molecular biology suite · under-cabinet ribbon light and dark ceiling void · shot:vertical_descend · cap ON · label:Semaglutide","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,5,
SCN-006,longevity_lab,Longevity · capped pen,"Coastal biotech brochure frame: Longevity & cellular research suites. Inside a cedar sauna anteroom juxtaposed with a sealed research fridge behind glass. Cable management is immaculate — luxury expressed as engineering discipline. Quiet prosperity — science as coastal luxury infrastructure. Let architecture lead, then reward the eye with one unmistakable research focal point.","lateral_ltr, eye-level, left-to-right: creeping lateral slide left to right starting left of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",museum track lighting with narrow beams on pedestals,research pen rubber grip section macro,"grip texture, dial collar, capped tip cover on; barrel window shows settled clear bright blue liquid already inside at a stable level (GLOW only — blue liquid); never filling",P-GLOW-001,GLOW,https://www.palmbeach-vitality.store/products/#glow,"longevity lab · research pen rubber grip section macro · grip texture, dial collar, capped tip cover on; barrel window shows settled clear bright blue liquid already inside at a stable level (GLOW only — blue liquid); never filling · a cedar sauna anteroom juxtaposed with a sealed research fridge behind glass · museum track lighting with narrow beams on pedestals · shot:lateral_ltr · cap ON · label:GLOW","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,6,
SCN-007,archive_documentation,Research documentation · capped pen,Quiet luxury-science tableau: Research documentation & standards archives. Inside a sports-performance science lab with force-plate flooring and calibrated gear racks. Color-blocked solvent bottles create a deliberate Pantone story behind the hero. The feeling that a breakthrough is minutes away off-frame. Compose as a vertical 9:16 hero still that could open a premium Instagram reel.,"lateral_rtl, eye-level, right-to-left: creeping lateral slide right to left starting right of subject at eye-level, focus locked on subject, straight horizontal path only, then hold",museum track lighting with narrow beams on pedestals,compact travel research pen shorter body,"shorter form factor, capped tip cover on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-SERM-001,Sermorelin,https://www.palmbeach-vitality.store/products/#sermorelin,"archive documentation · compact travel research pen shorter body · shorter form factor, capped tip cover on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a sports-performance science lab with force-plate flooring and calibrated gear r · museum track lighting with narrow beams on pedestals · shot:lateral_rtl · cap ON · label:Sermorelin","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,7,
SCN-008,biotech_campus,Biotech R · capped pen,"Process-gallery spectacle: Biotech R&D campus interiors. Inside a glass-walled pilot-scale process bay looking onto idle stainless skids. A single shaft of sunrise cuts a diagonal across otherwise clinical white. Premium calm: every object placed with intentional design. Let architecture lead, then reward the eye with one unmistakable research focal point.","top_down, true top-down 90 degrees, down into plan view: creeping overhead descend straight down from higher overhead into true top-down 90 degrees composition, path is a straight vertical drop only, then hold",blue-hour exterior wash through glass with warm interior pools,precision research pen standing upright,"vertical hero, soft reflection, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-PT141-001,PT-141,https://www.palmbeach-vitality.store/products/#pt-141,"biotech campus · precision research pen standing upright · vertical hero, soft reflection, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a glass-walled pilot-scale process bay looking onto idle stainless skids · blue-hour exterior wash through glass with warm interior pools · shot:top_down · cap ON · label:PT-141","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,8,
SCN-009,palm_beach_showroom,Palm Beach premium research showrooms · capped pen,"Wellness-meets-lab hybrid: Palm Beach premium research showrooms. Inside a hangar-scale fill-finish gallery with curtain dividers and glowing status boards. Shadow play from a palm frond lands across the bench without breaking sterility cues. Industrial poetry — pipes and glass as modern sculpture. Let architecture lead, then reward the eye with one unmistakable research focal point.","tilt_up, low-angle power pose, tilt-up: slow tilt-up from underside to eye level at low-angle power pose, pivot only (tilt up only) — camera body does not truck around subject, then hold",museum track lighting with narrow beams on pedestals,research pen on matte white seamless paper,one capped research pen on plain white backdrop; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling,P-TIRZ-001,Tirzepatide,https://www.palmbeach-vitality.store/products/#tirzepatide,palm beach showroom · research pen on matte white seamless paper · one capped research pen on plain white backdrop; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a hangar-scale fill-finish gallery with curtain dividers and glowing status boar · museum track lighting with narrow beams on pedestals · shot:tilt_up · cap ON · label:Tirzepatide,"For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,9,
SCN-010,cryo_cold_chain,Cryostorage · capped pen,Discovery-morning clarity: Cryostorage & cold-chain research logistics. Inside a kinetic sculpture of glass condensers in a discovery hallway. Nested glass doors create recursive reflections of the same hero object. Client-facing wonder without tipping into medical theater. Use negative space generously so the scene breathes and never feels like a cluttered bench dump.,"tilt_down, high looking down, tilt-down: slow tilt-down from upper rim onto the subject at high looking down, pivot only (tilt down only) — no lateral looping path, then hold",golden coastal window light mixed with white LED task lamps,research pen with dose window close-up,"numeric window readable, shallow depth, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling",P-MOTS-001,MOTS-C,https://www.palmbeach-vitality.store/products/#mots-c,"cryo cold chain · research pen with dose window close-up · numeric window readable, shallow depth, cap on; barrel window shows settled crystal-clear colorless liquid already inside at a stable level; never filling · a kinetic sculpture of glass condensers in a discovery hallway · golden coastal window light mixed with white LED task lamps · shot:tilt_down · cap ON · label:MOTS-C","For laboratory research use only. Not for human use or consumption. Not a drug, dietary supplement, or cosmetic. Not evaluated by the FDA. Captions only — never burn this into the image or Grok prompt.",Active,10,
