product_slug,canonical_url,shopify_style_url_use_this_or_canonical,status
5-amino-mq-pen,https://palmbeach-vitality.store/product/5-amino-mq-pen/,https://palmbeach-vitality.store/products/5-amino-mq-pen,use-canonical
aod-9604,https://palmbeach-vitality.store/product/aod-9604/,https://palmbeach-vitality.store/products/aod-9604,use-canonical
bpc-157-10mg-vial,https://palmbeach-vitality.store/product/bpc-157-10mg-vial/,https://palmbeach-vitality.store/products/bpc-157-10mg-vial,use-canonical
bpc-157-20mg,https://palmbeach-vitality.store/product/bpc-157-20mg/,https://palmbeach-vitality.store/products/bpc-157-20mg,use-canonical
cargrilinitide-vial,https://palmbeach-vitality.store/product/cargrilinitide-vial/,https://palmbeach-vitality.store/products/cargrilinitide-vial,use-canonical
cjc-ipamorelin-pen,https://palmbeach-vitality.store/product/cjc-ipamorelin-pen/,https://palmbeach-vitality.store/products/cjc-ipamorelin-pen,use-canonical
cjc-ipamorelin-vial,https://palmbeach-vitality.store/product/cjc-ipamorelin-vial/,https://palmbeach-vitality.store/products/cjc-ipamorelin-vial,use-canonical
cjc-vial,https://palmbeach-vitality.store/product/cjc-vial/,https://palmbeach-vitality.store/products/cjc-vial,use-canonical
dsip-pen,https://palmbeach-vitality.store/product/dsip-pen/,https://palmbeach-vitality.store/products/dsip-pen,use-canonical
ghk-cu-pen,https://palmbeach-vitality.store/product/ghk-cu-pen/,https://palmbeach-vitality.store/products/ghk-cu-pen,use-canonical
ghk-cu-vial,https://palmbeach-vitality.store/product/ghk-cu-vial/,https://palmbeach-vitality.store/products/ghk-cu-vial,use-canonical
glow-pen,https://palmbeach-vitality.store/product/glow-pen/,https://palmbeach-vitality.store/products/glow-pen,use-canonical
glow-vial,https://palmbeach-vitality.store/product/glow-vial/,https://palmbeach-vitality.store/products/glow-vial,use-canonical
klow-pen,https://palmbeach-vitality.store/product/klow-pen/,https://palmbeach-vitality.store/products/klow-pen,use-canonical
klow-vial,https://palmbeach-vitality.store/product/klow-vial/,https://palmbeach-vitality.store/products/klow-vial,use-canonical
