still_id,reel_id,audio_host,sound_type,output_mode,audio_endpoint,audio_poll_base,music_prompt,sfx_prompt,sonilo_wait_seconds,sonilo_max_polls,output_format,ducking,preserve_speech,keep_original_sound,audio_source_url,join_url,audio_url,audio_video_url,music_stem_url,sfx_stem_url,audio_status,sonilo_task_id
FILM-001,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-002,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-003,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-004,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-005,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-006,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-007,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-008,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-009,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-010,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-011,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-012,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-013,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-014,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-015,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-016,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-017,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-018,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-019,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-020,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-021,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-022,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-023,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-024,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
FILM-025,MOTSC-FILM-01,sonilo,music_and_sfx,muxed_video,https://api.sonilo.com/v1/video-to-video-sound,https://api.sonilo.com/v1/tasks,"cinematic sci-fi, tense then triumphant",match the on-screen action.,90,20,wav,false,false,false,,,,,,,,
