compound_id,source_sheet,compound_name,category,product_form,short_tagline,key_benefit_theme,mechanism_1_liner,spotlight_angle,canonical_url,hashtags_core,compliance_notes,disclaimer_short,status,rotation_order,last_spotlight_date,cycle_number,figma_template_type,ig_caption_draft,fb_caption_draft,tiktok_script_draft,buffer_ig_post_id,buffer_fb_post_id,buffer_tiktok_post_id,notes,feed_image_url,story_image_url,reel_still_url,reel_video_url,buffer_ig_reel_id,buffer_fb_reel_id,video_url,creatomate_render_id,creatomate_snapshot_url,last_reel_at
P-5AM-001,1-compounds-pens,5 AMINO MQ,Longevity / Metabolic,Pen,5-Amino-1MQ research pen,Metabolic and longevity research,NNMT inhibitor research compound,Mechanism,https://www.palmbeach-vitality.store/products/5-amino-mq-pen,#5AminoMQ #PeptidePen #LongevityResearch #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,1,,1,Mechanism Carousel,,,,,,50mg Pen,,,,,,,,,,,
V-AOD-001,1-compounds-vials,AOD-9604,GLP-1 / Metabolic,Vial,AOD-9604 metabolic research vial,Metabolic pathway research,GH fragment 176-191 analog,FAQ,https://www.palmbeach-vitality.store/products/aod-9604,#AOD9604 #MetabolicResearch #PeptideVials #PalmBeachVitality,No weight-loss guarantees,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,2,,1,FAQ Slide,,,,,,10mg/10mL Vial,,,,,,,,,,,
V-BPC-001,1-compounds-vials,BPC-157,Recovery / Healing,Vial,BPC-157 body protection compound vial,Tissue recovery research,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157,#BPC157 #RecoveryResearch #PeptideVials #PalmBeachVitality,Avoid injury cure language,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,3,,1,Hero Spotlight,,,,,,Also maps: /products/bpc-157-20mg,,,,,,,,,,,
P-BPC-001,1-compounds-pens,BPC-157,Recovery / Healing,Pen,BPC-157 recovery research pen,Tissue recovery research,Pentadecapeptide BPC-157,Spotlight Hero,https://www.palmbeach-vitality.store/products/bpc-157-pen,#BPC157 #PeptidePen #RecoveryResearch #PalmBeachVitality,Avoid injury cure language,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,4,2026-07-30,1,Hero Spotlight,,,,6a6bdaad961582f29fee5e34,6a6bdaacbb30a36747fdacf2,20mg 3mL Pen,,,,,https://vidgen.x.ai/xai-vidgen-bucket/xai-video-8f7cd193-ef3a-9b6e-9db4-8df4f52955d6.mp4,6a6bdaaba788ee4615162868,6a6bdaaba7a516cf4d29a0b3,,,,
V-WOL-001,1-compounds-vials,BPC-157/TB-500 (Wolverine),Recovery / Healing Blend,Vial,Wolverine recovery blend vial,Dual recovery peptide blend,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-stack,#Wolverine #BPC157 #TB500 #PeptideBlend #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,5,,1,Mechanism Carousel,,,,,,10mL Vial 10mg/10mg,,,,,,,,,,,
P-WOL-001,1-compounds-pens,BPC-157/TB-500 (Wolverine),Recovery / Healing Blend,Pen,Wolverine recovery blend pen,Dual recovery peptide blend,BPC-157 + TB-500 blend,Mechanism,https://www.palmbeach-vitality.store/products/wolverine-pen,#Wolverine #BPC157 #TB500 #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,6,,1,Mechanism Carousel,,,,,,10mg/10mg 3mL Pen,,,,,,,,,,,
V-CAG-001,1-compounds-vials,Cagrilinitide,GLP-1 / Metabolic,Vial,Cagrilinitide metabolic research vial,Metabolic research support,Amylin receptor agonist,FAQ,https://www.palmbeach-vitality.store/products/cargrilinitide,#Cagrilinitide #MetabolicResearch #PeptideVials #PalmBeachVitality,Site slug uses cargrilinitide spelling,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,7,,1,FAQ Slide,,,,,,5mL Vial 25mg,,,,,,,,,,,
V-CJC-001,1-compounds-vials,CJC (no DAC),Hormonal / GH Secretagogue,Vial,CJC no DAC research vial,GH pulse research,GHRH analog (no DAC),Mechanism,https://www.palmbeach-vitality.store/products/cjc,#CJC1295 #PeptideVials #HormonalResearch #PalmBeachVitality,Research use only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,8,,1,Mechanism Carousel,,,,,,10mL Vial 10mg,,,,,,,,,,,
V-CII-001,1-compounds-vials,CJC (no DAC)/Ipamorelin,Hormonal / GH Blend,Vial,CJC and Ipamorelin stack vial,Synergistic GH research,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin,#CJC1295 #Ipamorelin #PeptideBlend #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,9,,1,Mechanism Carousel,,,,,,10mL Vial 10mg/10mg,,,,,,,,,,,
P-CII-001,1-compounds-pens,CJC (no DAC)/Ipamorelin,Hormonal / GH Blend,Pen,CJC and Ipamorelin stack pen,Synergistic GH research,CJC (no DAC) + Ipamorelin blend,Compare,https://www.palmbeach-vitality.store/products/cjc-ipamorelin-1,#CJC1295 #Ipamorelin #PeptidePen #PalmBeachVitality,Blend spotlight — one post only,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,10,,1,Mechanism Carousel,,,,,,10/10mg 3mL Pen,,,,,,,,,,,
P-DSI-001,1-compounds-pens,DSIP,Sleep / Neurological,Pen,DSIP sleep research pen,Sleep pathway research,DSIP neuropeptide,FAQ,https://www.palmbeach-vitality.store/products/dsip-pen,#DSIP #PeptidePen #SleepResearch #PalmBeachVitality,Pen-only product,For research and educational purposes only. Not intended to diagnose or treat any condition.,Active,11,,1,FAQ Slide,,,,,,5mg 3mL Pen,,,,,,,,,,,
