compound_id,compound_name,aliases,science_what,science_focus,science_pathways,tag2,tag3,tag4,tag5,store_url,status
P-5A1MQ-001,5-Amino-1MQ,"5amino1mq,5-amino,amino1mq",a compact research compound used in studies of cellular energy handling,how cells manage NAD+-related pathways and metabolic signaling in laboratory models,NNMT-related activity and energy-pathway mapping at the molecular level,MetabolicResearch,CellularEnergy,PeptideResearch,ResearchPeptides,www.palmbeach-vitality.store,Active
P-AOD-001,AOD-9604,"aod9604,aod,aod-9604",a fragment-style research peptide drawn from growth-hormone sequence work,lipid-metabolism signaling and fat-mobilization pathways in controlled lab models,how researchers map metabolic peptide fragments without making outcome claims,MetabolicScience,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-BPC-001,BPC-157,"bpc157,bpc-157,bpc 157,bpc",a synthetic peptide modeled after a natural protective compound found in gastric juice,"its role in cellular signaling, tissue repair pathways, and support of the body's natural recovery processes at the molecular level",how laboratory models track cell-to-cell signaling during structured recovery research,PeptideResearch,TissueRepair,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-BPCTB-001,BPC-157/TB-500,"bpc tb,bpctb,bpc157tb500,bpc/tb",a paired research complex combining two widely studied repair-pathway peptides,complementary signaling work around cytoskeletal dynamics and tissue-research models,how two peptide sequences are cataloged together for side-by-side laboratory study,PeptideResearch,TissueRepair,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-CAGRI-001,Cagrilinitide,"cagri,cagrilintide,cagrilinitide",an amylin-analogue research peptide used in metabolic-pathway studies,amylin-related signaling and appetite-circuit mapping in laboratory systems,how researchers describe long-acting amylin analogues at the receptor level,MetabolicResearch,PeptideScience,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-CJC-001,CJC,"cjc1295,cjc-1295,cjc 1295",a GHRH-analogue research peptide used in endocrine-axis laboratory work,growth-hormone–releasing pathways and pituitary signaling in research models,how analog design changes receptor engagement in controlled endocrine studies,EndocrineLab,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-CJCIPA-001,CJC (no DAC)/Ipamorelin,"cjc ipamorelin,cjc/ipa,cjcipa,no dac",a stacked GHRH plus ghrelin-mimetic pair cataloged as one research complex,combined growth-axis signaling in laboratory endocrine models,how two complementary sequences are studied together without outcome claims,EndocrineLab,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-DSIP-001,DSIP,"delta sleep,dsip peptide",a short neuropeptide studied in sleep-architecture and stress-axis research,delta-sleep–inducing peptide signaling and neuroendocrine laboratory models,how a compact peptide is used to map rest-related neural pathways in vitro,NeuropeptideScience,PeptideResearch,CellularScience,ResearchPeptides,www.palmbeach-vitality.store,Active
P-GHK-001,GHK-Cu,"ghkcu,ghk cu,ghk-cu,copper peptide,ghk",a copper-binding tripeptide complex used in extracellular-matrix research,"copper-peptide signaling, collagen-related gene work, and skin-matrix laboratory models",how a tripeptide chelate is cataloged for regenerative-pathway mapping,CopperPeptide,CellularScience,PeptideResearch,ResearchPeptides,www.palmbeach-vitality.store,Active
P-GLOW-001,GLOW,"glow blend,glow peptide",a research blend built around copper-peptide and repair-pathway components,combined matrix and signaling work in cosmetic-science laboratory catalogs,how a multi-peptide blend is documented for controlled research use,PeptideResearch,CellularScience,CopperPeptide,ResearchPeptides,www.palmbeach-vitality.store,Active
