ID,SKU,Name,Short description,Description
151,PBV-GHK-CU-PEN,GHK-Cu Pen,GHK-Cu is the copper(II) complex of the tripeptide glycyl-L-histidyl-L-lysine.,"GHK-Cu 3 mL Pen

The Science, Simplified: GHK-Cu is the copper(II) complex of the tripeptide glycyl-L-histidyl-L-lysine.

Product Specifications – GHK-Cu 50 mg 3 mL Pen

Total GHK-Cu: 50 mg
Volume: 3 mL pre-filled pen
Concentration: ≈16.67 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Copper tripeptide complexation and extracellular matrix signaling research.

Physical Form &amp; Solubility:

Appearance: Clear blue solution
Solubility: Already in aqueous solution. Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

 Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique. 
 Do not freeze. Avoid prolonged room-temperature exposure. 
 Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter. 
 Protect from light and moisture at all times."
153,PBV-5-AMINO-MQ-PEN,5 Amino MQ Pen,5-Amino-1MQ (5-Amino-1-methylquinolinium) is a small-molecule inhibitor of nicotinamide N-methyltransferase (NNMT).,"5-Amino-1MQ 3 mL Pen

The Science, Simplified: 5-Amino-1MQ (5-Amino-1-methylquinolinium) is a small-molecule inhibitor of nicotinamide N-methyltransferase (NNMT).

Product Specifications – 5-Amino-1MQ 3 mL Pen

Total 5-Amino-1MQ: 50 mg
Volume: 3 mL pre-filled pen
Concentration: ≈16.67 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: NNMT inhibition and metabolic regulation research.

Physical Form &amp; Solubility:

Appearance: Clear liquid
Solubility: Already in aqueous solution. Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times. 

&lt;

p dir=&#8221;auto&#8221;&gt;"
147,PBV-CJC-IPAMORELIN-1,CJC/Ipamorelin Pen,"This is a dual-peptide research blend combining CJC (no DAC) / Modified GRF (1-29), a tetrasubstituted GHRH analog, and Ipamorelin, a selective growth hormone secretagogue…","CJC (no DAC) / Ipamorelin 3 mL Pen

The Science, Simplified: This is a dual-peptide research blend combining CJC (no DAC) / Modified GRF (1-29), a tetrasubstituted GHRH analog, and Ipamorelin, a selective growth hormone secretagogue (ghrelin mimetic).

Product Specifications – CJC (no DAC) / Ipamorelin 10 mg / 10 mg 3 mL Pen

Total CJC (no DAC): 10 mg
Total Ipamorelin: 10 mg
Volume: 3 mL pre-filled pen
Concentration: ≈3.33 mg/mL CJC (no DAC) + ≈3.33 mg/mL Ipamorelin
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Growth hormone release research.

Physical Form &amp; Solubility:

Appearance: Clear to slightly opalescent liquid
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research blend. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
149,PBV-DSIP-PEN,DSIP Pen,DSIP (Delta Sleep-Inducing Peptide) is a synthetic nonapeptide originally isolated from cerebral venous blood and studied in sleep regulation research.,"DSIP 3 mL Pen

The Science, Simplified: DSIP (Delta Sleep-Inducing Peptide) is a synthetic nonapeptide originally isolated from cerebral venous blood and studied in sleep regulation research.

Product Specifications – DSIP 5 mg 3 mL Pen

Total DSIP: 5 mg
Volume: 3 mL pre-filled pen
Concentration: ≈1.67 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Sleep regulation and neuropeptide research.

Physical Form &amp; Solubility:

Appearance: Clear to slightly opalescent liquid
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
155,PBV-GLOW-PEN,GLOW Pen,"This is a triple-peptide research blend combining BPC-157 (synthetic gastric pentadecapeptide), TB-500 (synthetic actin-binding fragment of thymosin beta-4), and GHK-Cu (copper…","GLOW (BPC-157 / TB-500 / GHK-Cu) 3 mL Pen

The Science, Simplified: This is a triple-peptide research blend combining BPC-157 (synthetic gastric pentadecapeptide), TB-500 (synthetic actin-binding fragment of thymosin beta-4), and GHK-Cu (copper complex of glycyl-L-histidyl-L-lysine).

Product Specifications – GLOW (BPC-157 / TB-500 / GHK-Cu) 10 mg / 10 mg / 50 mg 3 mL Pen

Total BPC-157: 10 mg
Total TB-500: 10 mg
Total GHK-Cu: 50 mg
Volume: 3 mL pre-filled pen
Concentration: ≈3.33 mg/mL BPC-157 + ≈3.33 mg/mL TB-500 + ≈16.67 mg/mL GHK-Cu
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Multi-pathway tissue remodeling and regeneration research.

Physical Form &amp; Solubility:

Appearance: Distinctive clear blue liquid (the characteristic blue color comes from the GHK-Cu copper complex)
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research blend. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

 Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique. 
 Do not freeze. Avoid prolonged room-temperature exposure. 
 Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter. 
 Protect from light and moisture at all times."
123,PBV-KLOW-PEN,KLOW Pen,"This is a multi-peptide research blend combining KPV (Lys-Pro-Val tripeptide), BPC-157 (synthetic gastric pentadecapeptide), TB-500 (synthetic actin-binding fragment of thymosin…","KLOW 3 mL Pen

The Science, Simplified: This is a multi-peptide research blend combining KPV (Lys-Pro-Val tripeptide), BPC-157 (synthetic gastric pentadecapeptide), TB-500 (synthetic actin-binding fragment of thymosin beta-4), and GHK-Cu (copper complex of glycyl-L-histidyl-L-lysine).

Product Specifications – KLOW 3 mL Pen

Total KPV: 10 mg
Total BPC-157: 10 mg
Total TB-500: 10 mg
Total GHK-Cu: 50 mg
Volume: 3 mL pre-filled pen
Concentration: ≈3.33 mg/mL KPV + ≈3.33 mg/mL BPC-157 + ≈3.33 mg/mL TB-500 + ≈16.67 mg/mL GHK-Cu
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Multi-pathway inflammation modulation and tissue remodeling research.

Physical Form &amp; Solubility:

Appearance: Clear to lightly blue-tinted liquid
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research blend. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

 Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique. 
 Do not freeze. Avoid prolonged room-temperature exposure. 
 Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter. 
 Protect from light and moisture at all times."
159,PBV-KPV,KPV Pen,KPV is a synthetic tripeptide corresponding to the C-terminal sequence of α-melanocyte-stimulating hormone (α-MSH).,"KPV 3 mL Pen

The Science, Simplified: KPV is a synthetic tripeptide corresponding to the C-terminal sequence of α-melanocyte-stimulating hormone (α-MSH).

Product Specifications – KPV 10 mg 3 mL Pen

Total KPV: 10 mg
Volume: 3 mL pre-filled pen
Concentration: ≈3.33 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Melanocortin-related and inflammation modulation research.

Physical Form &amp; Solubility:

Appearance: Clear to slightly opalescent liquid
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
125,PBV-MOTS-C,MOTS-C Pen,MOTS-c is a mitochondrial-derived peptide encoded by the 12S rRNA region of the mitochondrial genome.,"MOTS-c 3 mL Pen

The Science, Simplified: MOTS-c is a mitochondrial-derived peptide encoded by the 12S rRNA region of the mitochondrial genome.

Product Specifications – MOTS-c 20 mg 3 mL Pen

Total MOTS-c: 20 mg
Volume: 3 mL pre-filled pen
Concentration: ≈6.67 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Mitochondrial signaling and metabolic regulation research.

Physical Form &amp; Solubility:

Appearance: Clear to slightly opalescent liquid
Solubility: Already in aqueous solution (acetate salt form for optimal solubility and stability). Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total peptide content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
127,,NAD+ Pen 1000mg,"NAD+ (nicotinamide adenine dinucleotide, oxidized form) is a critical coenzyme involved in cellular redox reactions and energy metabolism.","NAD+ 3 mL Pen

The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, oxidized form) is a critical coenzyme involved in cellular redox reactions and energy metabolism.

Product Specifications – NAD+ 1000 mg 3 mL Pen

Total NAD+: 1000 mg
Volume: 3 mL pre-filled pen
Concentration: ≈333.3 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Cellular energy metabolism and redox research.

Physical Form &amp; Solubility:

Appearance: Clear liquid
Solubility: Already in aqueous solution. Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
208,PBV-NAD-PEN-500MG,NAD+ Pen 500mg,"NAD+ (nicotinamide adenine dinucleotide, oxidized form) is a critical coenzyme involved in cellular redox reactions and energy metabolism.","NAD+ 3 mL Pen

The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, oxidized form) is a critical coenzyme involved in cellular redox reactions and energy metabolism.

Product Specifications – NAD+ 500 mg 3 mL Pen

Total NAD+: 500 mg
Volume: 3 mL pre-filled pen
Concentration: ≈166.7 mg/mL
Purity: Research-grade, third-party tested (COA available)
Format: Ready-to-use multi-dose pre-filled pen

Key Research Focus: Cellular energy metabolism and redox research.

Physical Form &amp; Solubility:

Appearance: Clear liquid
Solubility: Already in aqueous solution. Highly soluble; no reconstitution required.

Pen Format Details: The 3 mL pre-filled pen is a sterile, multi-dose delivery system designed for precise, consistent dispensing of the research compound. It features a sealed cartridge, dial-a-dose mechanism for accurate volume control, and a fine-gauge needle interface. The pen is ready for immediate laboratory use with no mixing or transfer steps required. Each pen is labeled with total content and lot-specific COA reference.

Stability &amp; Handling Notes:

Refrigerated at 2–8°C (36–46°F). Practical shelf life is 4–6 weeks when protected from light and handled with aseptic technique.
Do not freeze. Avoid prolonged room-temperature exposure.
Discard after 6 weeks or if the solution becomes cloudy, discolored, or shows particulate matter.
Protect from light and moisture at all times."
