category,name,slug,permalink,desc_len,missing_description,has_ruo_banner,has_science_section,has_specs_section,preview
peptide-pens,5 Amino MQ Pen,5-amino-mq-pen,https://palmbeach-vitality.store/product/5-amino-mq-pen/,1395,False,True,True,True,"5-Amino-1MQ 3 mL Pen The Science, Simplified: 5-Amino-1MQ (5-Amino-1-methylquinolinium) is"
peptide-pens,CJC/Ipamorelin Pen,cjc-ipamorelin-pen,https://palmbeach-vitality.store/product/cjc-ipamorelin-pen/,1641,False,True,True,True,"CJC (no DAC) / Ipamorelin 3 mL Pen The Science, Simplified: This is a dual-peptide researc"
peptide-pens,DSIP Pen,dsip-pen,https://palmbeach-vitality.store/product/dsip-pen/,1494,False,True,True,True,"DSIP 3 mL Pen The Science, Simplified: DSIP (Delta Sleep-Inducing Peptide) is a synthetic "
peptide-pens,GHK-Cu Pen,ghk-cu-pen,https://palmbeach-vitality.store/product/ghk-cu-pen/,1389,False,True,True,True,"GHK-Cu 3 mL Pen The Science, Simplified: GHK-Cu is the copper(II) complex of the tripeptid"
peptide-pens,GLOW Pen,glow-pen,https://palmbeach-vitality.store/product/glow-pen/,1802,False,True,True,True,"GLOW (BPC-157 / TB-500 / GHK-Cu) 3 mL Pen The Science, Simplified: This is a triple-peptid"
peptide-pens,KLOW Pen,klow-pen,https://palmbeach-vitality.store/product/klow-pen/,1736,False,True,True,True,"KLOW 3 mL Pen The Science, Simplified: This is a multi-peptide research blend combining KP"
peptide-pens,KPV Pen,kpv-pen,https://palmbeach-vitality.store/product/kpv-pen/,1472,False,True,True,True,"KPV 3 mL Pen The Science, Simplified: KPV is a synthetic tripeptide corresponding to the C"
peptide-pens,MOTS-C Pen,mots-c-pen,https://palmbeach-vitality.store/product/mots-c-pen/,1467,False,True,True,True,"MOTS-c 3 mL Pen The Science, Simplified: MOTS-c is a mitochondrial-derived peptide encoded"
peptide-pens,NAD+ Pen 1000mg,nad-pen-1000mg,https://palmbeach-vitality.store/product/nad-pen-1000mg/,1403,False,True,True,True,"NAD+ 3 mL Pen The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, oxidized f"
peptide-pens,NAD+ Pen 500mg,nad-pen-500mg,https://palmbeach-vitality.store/product/nad-pen-500mg/,1401,False,True,True,True,"NAD+ 3 mL Pen The Science, Simplified: NAD+ (nicotinamide adenine dinucleotide, oxidized f"
peptide-pens,PT-141 Pen,pt-141-pen,https://palmbeach-vitality.store/product/pt-141-pen/,1451,False,True,True,True,"PT-141 3 mL Pen The Science, Simplified: PT-141 is a synthetic cyclic heptapeptide analog "
peptide-pens,SS-31 Pen,ss-31-pen,https://palmbeach-vitality.store/product/ss-31-pen/,1514,False,True,True,True,"SS-31 3 mL Pen The Science, Simplified: SS-31 (Elamipretide) is a synthetic aromatic-catio"
peptide-pens,Selank Pen,selank-pen,https://palmbeach-vitality.store/product/selank-pen/,1431,False,True,True,True,"Selank 3 mL Pen The Science, Simplified: Selank is a synthetic heptapeptide analog of the "
